,Measurement Basis,TT,TR,RT,RR
0,H,33622,31565,34463,32067
1,D,40749,24775,53757,12096
2,R,1283,62373,8050,58423
3,V,33232,31857,33719,32238
4,A,26419,37568,11682,54332
5,L,65752,1247,56769,8219
