Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,41051,39110,39762,33879,80813,72989
1,D,5028,76399,1104,64356,6132,140755
2,R,51434,22348,45043,32745,96477,55093
3,V,33383,43192,42465,32631,75848,75823
4,A,64651,6172,85308,1371,149959,7543
5,L,18750,61401,42762,33334,61512,94735
