data_dir,repetition,C,DB_H,DB_V,SB,N
2025-06-02--19h-33m-20s,0,0.0,0.0,3.0,0.0,3.0
2025-06-02--19h-33m-20s,1,0.0,0.0,1.0,0.0,1.0
2025-06-02--19h-33m-20s,2,0.0,0.0,3.0,0.5,3.5
2025-06-02--19h-33m-20s,3,0.5,0.0,1.0,0.0,1.5
2025-06-02--19h-33m-20s,4,0.0,0.0,1.0,1.0,2.0
2025-06-02--19h-33m-20s,5,0.0,0.0,1.0,0.0,1.0
2025-06-02--19h-33m-20s,6,0.0,0.0,5.0,0.0,5.0
2025-06-02--19h-33m-20s,7,0.0,0.0,1.0,0.0,1.0
2025-06-02--19h-33m-20s,8,0.0,0.0,2.0,0.0,2.0
2025-06-02--19h-33m-20s,9,0.0,0.0,3.0,0.5,3.5
2025-06-02--19h-33m-20s,10,0.0,0.0,1.0,0.0,1.0
2025-06-02--19h-33m-20s,11,0.0,0.0,1.0,0.0,1.0
2025-06-02--19h-33m-20s,12,0.0,0.0,1.0,0.0,1.0
2025-06-02--19h-33m-20s,13,0.0,0.0,2.0,0.5,2.5
2025-06-02--19h-33m-20s,14,0.0,0.0,3.0,1.0,4.0
2025-06-02--19h-33m-20s,15,0.0,0.0,2.0,0.5,2.5
2025-06-02--19h-33m-20s,16,0.0,0.0,5.0,0.0,5.0
2025-06-02--19h-33m-20s,17,0.5,0.0,1.0,0.0,1.5
2025-06-02--19h-33m-20s,18,0.5,0.0,1.0,1.0,2.5
2025-06-02--19h-33m-20s,19,0.0,0.0,3.0,0.0,3.0
2025-06-02--19h-33m-20s,20,0.0,0.0,2.0,0.0,2.0
2025-06-02--19h-33m-20s,22,0.0,0.0,3.0,0.0,3.0
2025-06-02--19h-33m-20s,23,0.0,0.0,2.0,0.0,2.0
2025-06-02--19h-33m-20s,24,0.0,0.0,1.0,0.0,1.0
2025-06-02--19h-33m-20s,25,0.0,0.0,5.0,0.0,5.0
