detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir
1,12,2554310263920842240,2554310263920842240,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,7,2554310263930638848,2554310263930638848,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310263933656576,2554310263933656576,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310263938445824,2554310263938445824,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310263940404224,2554310263940404224,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310263944847872,2554310263944847872,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310263944847872,2554310263944847872,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310263944847872,2554310263944847872,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310263946194432,2554310263946194432,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310263961676288,2554310263961676288,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310263961754112,2554310263961754112,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310263969507328,2554310263969507328,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310263970447360,2554310263970447360,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310263975848448,2554310263975848448,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310263976474112,2554310263976474112,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310263976971264,2554310263976971264,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310263977563648,2554310263977563648,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
9,11,2554310263991145984,2554310263991145984,2025-06-18--17h-26m-33s,H,H,2025-06-18--17h-26m-05s
1,12,2554310263997941248,2554310263997941248,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264001855488,2554310264001855488,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264002447872,2554310264002447872,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
9,10,2554310264004158464,2554310264004158464,2025-06-18--17h-26m-33s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264006742528,2554310264006742528,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264009029120,2554310264009029120,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,7,2554310264009324544,2554310264009324544,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264011884032,2554310264011884032,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264015607296,2554310264015607296,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264020940800,2554310264020940800,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
9,12,2554310264027671552,2554310264027671552,2025-06-18--17h-26m-33s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264033865728,2554310264033865728,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264039865856,2554310264039865856,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264042224640,2554310264042224640,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264055550976,2554310264055550976,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264059452416,2554310264059452416,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264064962560,2554310264064962560,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264067337728,2554310264067337728,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264079694848,2554310264079694848,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264082118144,2554310264082118144,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264084712960,2554310264084712960,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
9,12,2554310264089390080,2554310264089390080,2025-06-18--17h-26m-33s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264094241280,2554310264094241280,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264100128768,2554310264100128768,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264138307584,2554310264138307584,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264138456576,2554310264138456576,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264142118912,2554310264142118912,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264152372736,2554310264152372736,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264160117760,2554310264160117760,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264160738304,2554310264160738304,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264172022784,2554310264172022784,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264190421504,2554310264190421504,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264193179648,2554310264193179648,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264194902016,2554310264194902016,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
9,12,2554310264202216448,2554310264202216448,2025-06-18--17h-26m-33s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264209298944,2554310264209298944,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,7,2554310264214338048,2554310264214338048,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
7,9,2554310264214589440,2554310264214589440,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
9,12,2554310264214769152,2554310264214769152,2025-06-18--17h-26m-33s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264216905728,2554310264216905728,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264231941120,2554310264231941120,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264246614016,2554310264246614016,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264247353344,2554310264247353344,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264263248896,2554310264263248896,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
9,12,2554310264273657344,2554310264273657344,2025-06-18--17h-26m-33s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264281772032,2554310264281772032,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264282372096,2554310264282372096,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264284119552,2554310264284119552,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264287687168,2554310264287687168,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264299489280,2554310264299489280,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264320596992,2554310264320596992,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264321373696,2554310264321373696,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264331127296,2554310264331127296,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264331201536,2554310264331201536,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264341664768,2554310264341664768,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
9,12,2554310264344879616,2554310264344879616,2025-06-18--17h-26m-33s,H,H,2025-06-18--17h-26m-05s
1,4,2554310264347556352,2554310264347556352,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
10,12,2554310264347771904,2554310264347771904,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264354067968,2554310264354067968,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264356386816,2554310264356386816,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264369398784,2554310264369398784,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,12,2554310264379571200,2554310264379571200,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264390295552,2554310264390295552,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264391232512,2554310264391232512,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,2,2554310264392722944,2554310264392722944,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,12,2554310264397380608,2554310264397380608,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
1,9,2554310264398158848,2554310264398158848,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
4,9,2554310264399411200,2554310264399411200,2025-06-18--17h-26m-34s,H,H,2025-06-18--17h-26m-05s
