Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,66313,505,55731,321,122044,826
1,D,33511,31498,27265,27704,60776,59202
2,R,31757,33653,25459,29567,57216,63220
3,V,362,63329,510,52957,872,116286
4,A,31765,32078,27157,27802,58922,59880
5,L,34173,30517,27972,26797,62145,57314
