,Measurement Basis,TT,TR,RT,RR
0,H,41913,80353,44755,65575
1,D,118813,3834,124754,7831
2,R,58180,65019,94357,30838
3,V,81334,42641,95720,28856
4,A,3454,118818,11414,92547
5,L,64851,58200,42281,69414
