Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,320,150324,3959,131543,4279,281867
1,D,76640,74197,95726,63080,172366,137277
2,R,74897,74805,97852,62088,172749,136893
3,V,147124,526,174270,959,321394,1485
4,A,71229,77934,87157,69160,158386,147094
5,L,72782,77545,88633,67904,161415,145449
