Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,374,63332,408,64302,782,127634
1,D,33902,32583,33857,31232,67759,63815
2,R,34616,31451,34858,29644,69474,61095
3,V,67940,510,64550,372,132490,882
4,A,33912,31628,33182,31800,67094,63428
5,L,33592,32410,32587,32145,66179,64555
