,Measurement Basis,TT,TR,RT,RR
0,H,45004,104033,58125,90684
1,D,101806,48231,85382,71936
2,R,135974,12243,171514,4191
3,V,102496,46505,122200,42644
4,A,45237,103718,95376,63328
5,L,11894,139535,11350,129474
