Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,395,63142,454,64643,849,127785
1,D,34472,31467,34038,30342,68510,61809
2,R,34972,31149,35487,29204,70459,60353
3,V,67062,503,64698,360,131760,863
4,A,32670,32140,32196,32325,64866,64465
5,L,32884,32634,32458,32711,65342,65345
