data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-23--18h-27m-01s,0.5,5.0,18.0,16.5,40.0,1.9070461286760123,0.1698338530039141,109.26569450989803,9.730762995569496
2025-05-23--18h-27m-01s,1.5,11.0,11.0,16.5,40.0,1.5707963267948966,0.28872253391069386,90.0,16.54258264340555
2025-05-23--18h-27m-01s,0.0,6.0,19.0,15.0,40.0,1.9070461286760123,0.0,109.26569450989803,0.0
2025-05-23--18h-27m-01s,1.0,6.0,15.0,18.0,40.0,1.8012573642211054,0.2281500639200517,103.20444478672827,13.07203575825892
2025-05-23--18h-27m-01s,1.0,6.0,19.0,14.0,40.0,1.9070461286760123,0.25743972657095276,109.26569450989803,14.75020981151751
2025-05-23--18h-27m-01s,1.0,2.0,16.0,21.0,40.0,1.9340633550810982,0.2117463452419459,110.81366755705885,12.13217190968354
2025-05-23--18h-27m-01s,0.0,12.0,10.0,18.0,40.0,1.5200130804813765,0.0,87.090334316262,0.0
2025-05-23--18h-27m-01s,0.5,6.0,14.0,19.5,40.0,1.7752637289419442,0.15645478250875602,101.71511919102997,8.964198722388934
2025-05-23--18h-27m-01s,1.0,6.0,13.0,20.0,40.0,1.7494094936123683,0.21681495800151976,100.23378062410725,12.42258202879328
2025-05-23--18h-27m-01s,0.5,11.0,12.0,16.5,40.0,1.596179763204715,0.1698338530039141,91.4543637758213,9.730762995569496
2025-05-23--18h-27m-01s,1.0,11.0,11.0,17.0,40.0,1.5707963267948966,0.2345277804372816,90.0,13.437451997627068
2025-05-23--18h-27m-01s,0.0,10.0,12.0,18.0,40.0,1.6215795731084166,0.0,92.909665683738,0.0
2025-05-23--18h-27m-01s,0.5,5.0,14.0,20.5,40.0,1.8012573642211054,0.1526515855116385,103.20444478672827,8.746291585797271
2025-05-23--18h-27m-01s,1.5,6.0,17.0,15.5,40.0,1.8537445165690392,0.2973670565919592,106.21173709492504,17.03787730894717
2025-05-23--18h-27m-01s,1.0,6.0,16.0,17.0,40.0,1.8274105528289257,0.2345277804372816,104.70291211476601,13.437451997627068
2025-05-23--18h-27m-01s,0.5,8.0,13.0,18.5,40.0,1.6980429924657525,0.1605571994952417,97.29069690005227,9.19924990151734
2025-05-23--18h-27m-01s,1.0,6.0,14.0,19.0,40.0,1.7752637289419442,0.2222659806251162,101.71511919102997,12.734902619155687
2025-05-23--18h-27m-01s,0.5,8.0,10.0,21.5,40.0,1.6215795731084166,0.14911291655672884,92.909665683738,8.543540789586979
2025-05-23--18h-27m-01s,0.5,5.0,21.0,13.5,40.0,1.9889691195383277,0.18736105494478966,113.9595361313975,10.73499769345517
2025-05-23--18h-27m-01s,0.5,7.0,13.0,19.5,40.0,1.7236754105760652,0.15645478250875602,98.75932627648788,8.964198722388934
2025-05-23--18h-27m-01s,0.0,6.0,18.0,16.0,40.0,1.8802817296301395,0.0,107.73220740336554,0.0
2025-05-23--18h-27m-01s,0.0,8.0,12.0,20.0,40.0,1.6724943807255575,0.0,95.8268692749207,0.0
2025-05-23--18h-27m-01s,0.5,12.0,13.0,14.5,40.0,1.596179763204715,0.18093000192997485,91.4543637758213,10.366525497881398
2025-05-23--18h-27m-01s,1.0,4.0,17.0,18.0,40.0,1.9070461286760123,0.2281500639200517,109.26569450989803,13.07203575825892
2025-05-23--18h-27m-01s,1.0,7.0,15.0,17.0,40.0,1.7752637289419442,0.2345277804372816,101.71511919102997,13.437451997627068
2025-05-23--18h-27m-01s,0.5,7.0,11.0,21.5,40.0,1.6724943807255575,0.14911291655672884,95.8268692749207,8.543540789586979
2025-05-23--18h-27m-01s,0.5,6.0,15.0,18.5,40.0,1.8012573642211054,0.1605571994952417,103.20444478672827,9.19924990151734
2025-05-23--18h-27m-01s,0.5,8.0,14.0,17.5,40.0,1.7236754105760652,0.16500025197837404,98.75932627648788,9.453818056955944
2025-05-23--18h-27m-01s,0.5,4.0,20.0,15.5,40.0,1.9889691195383277,0.1751187949816745,113.9595361313975,10.03356786586669
2025-05-23--18h-27m-01s,1.5,7.0,12.0,19.5,40.0,1.6980429924657525,0.2667111521503259,97.29069690005227,15.281423367285226
2025-05-23--18h-27m-01s,1.0,6.0,12.0,21.0,40.0,1.7236754105760652,0.2117463452419459,98.75932627648788,12.13217190968354
2025-05-23--18h-27m-01s,0.5,7.0,19.0,13.5,40.0,1.8802817296301395,0.18736105494478966,107.73220740336554,10.73499769345517
2025-05-23--18h-27m-01s,0.5,10.0,11.0,18.5,40.0,1.596179763204715,0.1605571994952417,91.4543637758213,9.19924990151734
2025-05-23--18h-27m-01s,0.5,7.0,16.0,16.5,40.0,1.8012573642211054,0.1698338530039141,103.20444478672827,9.730762995569496
2025-05-23--18h-27m-01s,0.5,5.0,21.0,13.5,40.0,1.9889691195383277,0.18736105494478966,113.9595361313975,10.73499769345517
2025-05-23--18h-27m-01s,1.0,10.0,13.0,16.0,40.0,1.6470122253008406,0.2414722726357701,94.36684931618802,13.835342091461985
2025-05-23--18h-27m-01s,0.0,11.0,14.0,15.0,40.0,1.6470122253008406,0.0,94.36684931618802,0.0
2025-05-23--18h-27m-01s,0.0,8.0,15.0,17.0,40.0,1.7494094936123683,0.0,100.23378062410725,0.0
2025-05-23--18h-27m-01s,1.0,11.0,10.0,18.0,40.0,1.5454128903850783,0.2281500639200517,88.54563622417871,13.07203575825892
2025-05-23--18h-27m-01s,0.5,8.0,14.0,17.5,40.0,1.7236754105760652,0.16500025197837404,98.75932627648788,9.453818056955944
2025-05-23--18h-27m-01s,0.0,5.0,18.0,17.0,40.0,1.9070461286760123,0.0,109.26569450989803,0.0
2025-05-23--18h-27m-01s,0.5,6.0,14.0,19.5,40.0,1.7752637289419442,0.15645478250875602,101.71511919102997,8.964198722388934
2025-05-23--18h-27m-01s,2.0,13.0,7.0,18.0,40.0,1.4179172430137281,0.3172771730595597,81.24067372351213,18.178642952154597
2025-05-23--18h-27m-01s,1.5,8.0,12.0,18.5,40.0,1.6724943807255575,0.27347947429872654,95.8268692749207,15.6692196607735
2025-05-23--18h-27m-01s,1.0,7.0,15.0,17.0,40.0,1.7752637289419442,0.2345277804372816,101.71511919102997,13.437451997627068
2025-05-23--18h-27m-01s,0.5,10.0,8.0,21.5,40.0,1.5200130804813765,0.14911291655672884,87.090334316262,8.543540789586979
2025-05-23--18h-27m-01s,0.5,10.0,15.0,14.5,40.0,1.6980429924657525,0.18093000192997485,97.29069690005227,10.366525497881398
2025-05-23--18h-27m-01s,0.0,7.0,16.0,17.0,40.0,1.8012573642211054,0.0,103.20444478672827,0.0
2025-05-23--18h-27m-01s,1.5,9.0,9.0,20.5,40.0,1.5707963267948966,0.26042190721772407,90.0,14.9210761763231
2025-05-23--18h-27m-01s,2.0,9.0,13.0,16.0,40.0,1.6724943807255575,0.3351499755574887,95.8268692749207,19.202679103356804
2025-05-23--18h-27m-01s,1.5,7.0,16.0,15.5,40.0,1.8012573642211054,0.2973670565919592,103.20444478672827,17.03787730894717
2025-05-23--18h-27m-01s,0.0,11.0,16.0,13.0,40.0,1.6980429924657525,0.0,97.29069690005227,0.0
2025-05-23--18h-27m-01s,2.0,9.0,14.0,15.0,40.0,1.6980429924657525,0.34530025960764427,97.29069690005227,19.784247540289673
2025-05-23--18h-27m-01s,0.5,7.0,12.0,20.5,40.0,1.6980429924657525,0.1526515855116385,97.29069690005227,8.746291585797271
2025-05-23--18h-27m-01s,1.0,7.0,11.0,21.0,40.0,1.6724943807255575,0.2117463452419459,95.8268692749207,12.13217190968354
2025-05-23--18h-27m-01s,1.0,11.0,13.0,15.0,40.0,1.6215795731084166,0.24907281986978974,92.909665683738,14.270821369961142
2025-05-23--18h-27m-01s,0.5,10.0,15.0,14.5,40.0,1.6980429924657525,0.18093000192997485,97.29069690005227,10.366525497881398
2025-05-23--18h-27m-01s,0.0,9.0,13.0,18.0,40.0,1.6724943807255575,0.0,95.8268692749207,0.0
2025-05-23--18h-27m-01s,1.5,7.0,14.0,17.5,40.0,1.7494094936123683,0.2807909935801022,100.23378062410725,16.08813885742485
2025-05-23--18h-27m-01s,1.5,10.0,15.0,13.5,40.0,1.6980429924657525,0.3172771730595597,97.29069690005227,18.178642952154597
2025-05-23--18h-27m-01s,0.5,7.0,15.0,17.5,40.0,1.7752637289419442,0.16500025197837404,101.71511919102997,9.453818056955944
2025-05-23--18h-27m-01s,1.0,5.0,17.0,17.0,40.0,1.8802817296301395,0.2345277804372816,107.73220740336554,13.437451997627068
2025-05-23--18h-27m-01s,0.0,9.0,13.0,18.0,40.0,1.6724943807255575,0.0,95.8268692749207,0.0
