,Measurement Basis,TT,TR,RT,RR
0,H,70835,75250,87623,66712
1,D,74377,73406,50573,97161
2,R,146000,531,165210,8540
3,V,73902,73037,88159,68631
4,A,69545,77358,127664,37731
5,L,358,148288,13824,126722
