Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33292,28755,28435,27087,61727,55842
1,D,62451,1284,55388,1123,117839,2407
2,R,24921,36591,35342,21402,60263,57993
3,V,30323,31283,31101,25047,61424,56330
4,A,1185,58801,1320,54524,2505,113325
5,L,38623,23456,21825,34080,60448,57536
