qwp,hwp,singles
0.0,1.0,"[59737   764     0 67897     0     0  1282     0 60703   313   348 68430
     0     0     0     0]"
0.0,2.0,"[58800   901     0 67608     0     0  1481     0 59964   310   326 68446
     0     0     0     0]"
0.0,3.0,"[58003  1261     0 66385     0     0  1786     0 60233   281   350 67502
     0     0     0     0]"
0.0,4.0,"[57515  1571     0 66119     0     0  2248     0 59878   322   330 68238
     0     0     0     0]"
0.0,5.0,"[57570  2121     0 65591     0     0  2920     0 59197   283   382 67754
     0     0     0     0]"
1.0,-5.0,"[56822  2527     0 64413     0     0  3310     0 59825   312   354 67594
     0     0     0     0]"
1.0,-4.0,"[57138  2077     0 65345     0     0  2905     0 59649   306   334 68046
     0     0     0     0]"
1.0,-3.0,"[58000  1639     0 66271     0     0  2258     0 60266   295   335 67861
     0     0     0     0]"
1.0,-2.0,"[58183  1251     0 66819     0     0  1872     0 60172   318   324 68224
     0     0     0     0]"
1.0,-1.0,"[58877   958     0 67386     0     0  1480     0 59193   289   347 67877
     0     0     0     0]"
1.0,0.0,"[58941   796     0 67486     0     0  1448     0 60184   312   351 68240
     0     0     0     0]"
1.0,1.0,"[58265   845     0 67824     0     0  1280     0 59635   299   343 67877
     0     0     0     0]"
1.0,2.0,"[58251   883     0 66306     0     0  1480     0 59458   306   309 67263
     0     0     0     0]"
1.0,3.0,"[58282  1089     0 66551     0     0  1722     0 60057   290   354 67836
     0     0     0     0]"
1.0,4.0,"[57640  1516     0 65583     0     0  2112     0 59431   304   350 67595
     0     0     0     0]"
1.0,5.0,"[57200  1920     0 65480     0     0  2664     0 59574   332   335 67467
     0     0     0     0]"
2.0,-5.0,"[55840  2907     0 64029     0     0  3823     0 59468   324   331 67493
     0     0     0     0]"
2.0,-4.0,"[56096  2499     0 64357     0     0  3280     0 59404   285   328 67458
     0     0     0     0]"
2.0,-3.0,"[57417  1979     0 65884     0     0  2813     0 60191   317   345 68280
     0     0     0     0]"
2.0,-2.0,"[57792  1530     0 65740     0     0  2199     0 59111   309   341 67838
     0     0     0     0]"
2.0,-1.0,"[58278  1170     0 66371     0     0  1820     0 59747   303   347 67220
     0     0     0     0]"
2.0,0.0,"[58333  1030     0 66103     0     0  1549     0 59740   352   369 67212
     0     0     0     0]"
2.0,1.0,"[58679   950     0 66921     0     0  1451     0 59479   304   380 67906
     0     0     0     0]"
2.0,2.0,"[58800   862     0 67176     0     0  1515     0 60023   313   345 67506
     0     0     0     0]"
2.0,3.0,"[58402  1133     0 66597     0     0  1750     0 60204   325   359 67556
     0     0     0     0]"
2.0,4.0,"[58226  1292     0 66574     0     0  2051     0 59794   285   351 67897
     0     0     0     0]"
2.0,5.0,"[57602  1739     0 66283     0     0  2491     0 60150   280   348 68376
     0     0     0     0]"
3.0,-5.0,"[55051  3409     0 63005     0     0  4282     0 59413   257   350 67217
     0     0     0     0]"
3.0,-4.0,"[55666  2946     0 64308     0     0  3881     0 59728   316   376 67526
     0     0     0     0]"
3.0,-3.0,"[56616  2310     0 64740     0     0  3163     0 59880   309   402 67417
     0     0     0     0]"
3.0,-2.0,"[57431  1846     0 65340     0     0  2591     0 59485   336   327 67404
     0     0     0     0]"
3.0,-1.0,"[57867  1492     0 66203     0     0  2116     0 60186   318   327 67691
     0     0     0     0]"
3.0,0.0,"[57875  1157     0 66047     0     0  1906     0 59966   322   338 67718
     0     0     0     0]"
3.0,1.0,"[58037  1079     0 66735     0     0  1702     0 58848   368   360 66831
     0     0     0     0]"
3.0,2.0,"[57884  1092     0 66395     0     0  1623     0 58345   288   356 67249
     0     0     0     0]"
3.0,3.0,"[58379  1126     0 66646     0     0  1762     0 59656   298   354 67723
     0     0     0     0]"
3.0,4.0,"[58646  1352     0 66870     0     0  1914     0 60304   334   377 68423
     0     0     0     0]"
