Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32671,33033,32362,34356,65033,67389
1,D,26551,38255,11972,54002,38523,92257
2,R,65465,1199,57253,7958,122718,9157
3,V,34247,30585,31144,34324,65391,64909
4,A,39586,24805,52192,12157,91778,36962
5,L,1077,61675,7966,58159,9043,119834
