Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,31742,32391,31632,33932,63374,66323
1,D,1205,61753,7856,57687,9061,119440
2,R,26088,38451,12264,52754,38352,91205
3,V,34248,30853,31741,33743,65989,64596
4,A,64277,1125,56980,7867,121257,8992
5,L,40088,24973,53299,12152,93387,37125
