,Measurement Basis,TT,TR,RT,RR
0,H,419,57418,419,55223
1,D,29750,29047,30796,26513
2,R,29904,28798,31158,25797
3,V,58924,534,57864,364
4,A,29530,28632,29132,27936
5,L,29497,28915,29695,27583
