angle,singles,coincidences
0.0,13154.0,0
9.0,26924.0,0
18.0,38702.0,0
27.0,44936.0,0
36.0,42400.0,0
45.0,32514.0,0
54.0,19026.0,0
63.0,6374.0,0
72.0,276.0,0
81.0,2849.0,0
90.0,13340.0,0
99.0,26736.0,0
108.0,38862.0,0
117.0,44480.0,0
126.0,42250.0,0
135.0,32532.0,0
144.0,18877.0,0
153.0,6606.0,0
162.0,252.0,0
171.0,2981.0,0
180.0,13312.0,0
17.5,38282.0,0
18.5,39269.0,0
19.5,41288.0,0
20.5,41606.0,0
21.5,41659.0,0
22.5,42953.0,0
23.5,43622.0,0
24.5,43463.0,0
25.5,44255.0,0
26.5,44163.0,0
27.5,44295.0,0
62.5,6957.0,0
64.16666666666667,5173.0,0
65.83333333333333,3647.0,0
67.5,2339.0,0
69.16666666666667,1256.0,0
70.83333333333333,536.0,0
72.5,154.0,0
40.0,38296.0,0
44.1034489139161,33347.0,0
48.206897827832194,28128.0,1
52.31034674174829,21321.0,0
56.41379565566439,14900.0,0
