data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-30--14h-24m-36s,890,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,891,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,892,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,893,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,894,0.0,5.0,0.0,0.5,5.5
2025-05-30--14h-24m-36s,895,0.0,2.0,0.0,0.5,2.5
2025-05-30--14h-24m-36s,896,0.5,0.0,0.0,0.5,1.0
2025-05-30--14h-24m-36s,897,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,898,0.0,3.0,0.0,0.5,3.5
2025-05-30--14h-24m-36s,899,0.5,4.0,0.0,0.0,4.5
2025-05-30--14h-24m-36s,900,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,901,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,902,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,903,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,904,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,905,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,906,0.0,8.0,0.0,0.0,8.0
2025-05-30--14h-24m-36s,907,0.0,3.0,0.0,1.0,4.0
2025-05-30--14h-24m-36s,908,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,909,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,910,0.0,4.0,0.0,0.5,4.5
2025-05-30--14h-24m-36s,911,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,912,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,913,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,914,0.0,2.0,0.0,0.5,2.5
2025-05-30--14h-24m-36s,916,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-24m-36s,917,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,918,0.0,7.0,0.0,0.0,7.0
