detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir,estimation_label,corrected_estimation_label
4,12,2554309595623940096,2554309595623940096,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,9,2554309595626341888,2554309595626341888,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,12,2554309595636704256,2554309595636704256,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,9,2554309595641775616,2554309595641775616,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,9,2554309595645384192,2554309595645384192,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,4,2554309595656269824,2554309595656269824,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
4,12,2554309595659740160,2554309595659740160,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,4,2554309595670625280,2554309595670625280,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
4,12,2554309595672039936,2554309595672039936,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,9,2554309595681771520,2554309595681771520,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,12,2554309595682677760,2554309595682677760,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
9,12,2554309595701559296,2554309595701559296,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
9,12,2554309595704464896,2554309595704464896,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
1,4,2554309595707068416,2554309595707068416,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
9,12,2554309595715477504,2554309595715477504,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
1,10,2554309595731154944,2554309595731154944,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,C'
1,4,2554309595732794880,2554309595732794880,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
1,9,2554309595736700928,2554309595736700928,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,4,2554309595742831616,2554309595742831616,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
9,12,2554309595750989312,2554309595750989312,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
7,9,2554309595760651264,2554309595760651264,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,C'
1,4,2554309595761972736,2554309595761972736,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
9,12,2554309595763731456,2554309595763731456,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
4,9,2554309595770838016,2554309595770838016,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,9,2554309595778297856,2554309595778297856,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,4,2554309595779961344,2554309595779961344,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
4,12,2554309595780867584,2554309595780867584,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
9,12,2554309595782795776,2554309595782795776,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
4,9,2554309595791641600,2554309595791641600,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,9,2554309595791878144,2554309595791878144,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,4,2554309595795406336,2554309595795406336,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
4,9,2554309595799056384,2554309595799056384,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,9,2554309595806443520,2554309595806443520,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,9,2554309595807577088,2554309595807577088,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,12,2554309595815307264,2554309595815307264,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,12,2554309595819315712,2554309595819315712,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,4,2554309595821259264,2554309595821259264,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
1,12,2554309595828154368,2554309595828154368,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,12,2554309595843508224,2554309595843508224,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
4,12,2554309595852150784,2554309595852150784,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
9,12,2554309595856629760,2554309595856629760,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
1,12,2554309595860584960,2554309595860584960,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
1,4,2554309595867876864,2554309595867876864,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,DB_H,HH
1,9,2554309595893684224,2554309595893684224,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,HH
2,12,2554309595895235072,2554309595895235072,2025-06-18--17h-24m-49s,H,H,2025-06-18--17h-24m-21s,C,C'
