data_dir,C,SB,DB_V,DB_H,N
2025-06-03--19h-14m-24s,20.0,22.0,2.0,116.0,160.0
2025-06-03--19h-14m-24s,18.0,27.0,2.0,113.0,160.0
2025-06-03--19h-14m-24s,22.0,18.0,2.0,118.0,160.0
2025-06-03--19h-14m-24s,23.0,23.0,9.0,105.0,160.0
2025-06-03--19h-14m-24s,22.0,27.0,3.0,108.0,160.0
2025-06-03--19h-14m-24s,19.0,22.0,3.0,116.0,160.0
2025-06-03--19h-14m-24s,27.0,30.0,1.0,102.0,160.0
2025-06-03--19h-14m-24s,19.0,21.0,3.0,117.0,160.0
2025-06-03--19h-14m-24s,17.0,16.0,9.0,118.0,160.0
2025-06-03--19h-14m-24s,14.0,21.0,4.0,121.0,160.0
2025-06-03--19h-14m-24s,18.0,24.0,8.0,110.0,160.0
2025-06-03--19h-14m-24s,26.0,30.0,1.0,103.0,160.0
2025-06-03--19h-14m-24s,17.0,20.0,2.0,121.0,160.0
2025-06-03--19h-14m-24s,21.0,22.0,3.0,114.0,160.0
2025-06-03--19h-14m-24s,20.0,30.0,0.0,110.0,160.0
2025-06-03--19h-14m-24s,24.0,29.0,3.0,104.0,160.0
2025-06-03--19h-14m-24s,19.0,18.0,6.0,117.0,160.0
2025-06-03--19h-14m-24s,28.0,25.0,4.0,103.0,160.0
2025-06-03--19h-14m-24s,28.0,24.0,7.0,101.0,160.0
2025-06-03--19h-14m-24s,21.0,23.0,4.0,112.0,160.0
2025-06-03--19h-14m-24s,26.0,25.0,3.0,106.0,160.0
2025-06-03--19h-14m-24s,18.0,21.0,4.0,117.0,160.0
2025-06-03--19h-14m-24s,22.0,23.0,3.0,112.0,160.0
2025-06-03--19h-14m-24s,22.0,28.0,2.0,108.0,160.0
2025-06-03--19h-14m-24s,19.0,26.0,4.0,111.0,160.0
2025-06-03--19h-14m-24s,25.0,23.0,6.0,106.0,160.0
2025-06-03--19h-14m-24s,20.0,17.0,5.0,118.0,160.0
2025-06-03--19h-14m-24s,23.0,25.0,4.0,108.0,160.0
2025-06-03--19h-14m-24s,24.0,20.0,5.0,111.0,160.0
2025-06-03--19h-14m-24s,13.0,12.0,4.0,131.0,160.0
2025-06-03--19h-14m-24s,22.0,25.0,4.0,109.0,160.0
2025-06-03--19h-14m-24s,28.0,29.0,1.0,102.0,160.0
2025-06-03--19h-14m-24s,23.0,22.0,1.0,114.0,160.0
2025-06-03--19h-14m-24s,23.0,34.0,3.0,100.0,160.0
