data_dir,C',SB,VV,HH,N
2025-06-19--17h-48m-16s,41.0,0.0,6.0,73.0,120.0
2025-06-19--17h-48m-16s,43.0,0.0,7.0,70.0,120.0
2025-06-19--17h-48m-16s,40.0,1.0,7.0,72.0,120.0
2025-06-19--17h-48m-16s,46.0,0.0,11.0,63.0,120.0
2025-06-19--17h-48m-16s,43.0,0.0,5.0,72.0,120.0
2025-06-19--17h-48m-16s,41.0,2.0,10.0,67.0,120.0
2025-06-19--17h-48m-16s,44.0,0.0,6.0,70.0,120.0
2025-06-19--17h-48m-16s,39.0,0.0,8.0,73.0,120.0
2025-06-19--17h-48m-16s,41.0,1.0,4.0,74.0,120.0
2025-06-19--17h-48m-16s,45.0,1.0,11.0,63.0,120.0
2025-06-19--17h-48m-16s,29.0,2.0,8.0,81.0,120.0
2025-06-19--17h-48m-16s,32.0,0.0,10.0,78.0,120.0
2025-06-19--17h-48m-16s,40.0,2.0,7.0,71.0,120.0
2025-06-19--17h-48m-16s,36.0,1.0,5.0,78.0,120.0
2025-06-19--17h-48m-16s,38.0,0.0,5.0,77.0,120.0
2025-06-19--17h-48m-16s,43.0,0.0,10.0,67.0,120.0
2025-06-19--17h-48m-16s,29.0,2.0,3.0,86.0,120.0
2025-06-19--17h-48m-16s,42.0,0.0,6.0,72.0,120.0
2025-06-19--17h-48m-16s,45.0,2.0,7.0,66.0,120.0
2025-06-19--17h-48m-16s,41.0,0.0,11.0,68.0,120.0
2025-06-19--17h-48m-16s,36.0,2.0,8.0,74.0,120.0
2025-06-19--17h-48m-16s,36.0,3.0,7.0,74.0,120.0
2025-06-19--17h-48m-16s,45.0,0.0,5.0,70.0,120.0
2025-06-19--17h-48m-16s,37.0,0.0,12.0,71.0,120.0
2025-06-19--17h-48m-16s,41.0,0.0,8.0,71.0,120.0
2025-06-19--17h-48m-16s,44.0,2.0,4.0,70.0,120.0
2025-06-19--17h-48m-16s,28.0,0.0,6.0,86.0,120.0
2025-06-19--17h-48m-16s,34.0,1.0,5.0,80.0,120.0
2025-06-19--17h-48m-16s,35.0,0.0,9.0,76.0,120.0
2025-06-19--17h-48m-16s,35.0,0.0,6.0,79.0,120.0
2025-06-19--17h-48m-16s,36.0,2.0,4.0,78.0,120.0
2025-06-19--17h-48m-16s,40.0,1.0,6.0,73.0,120.0
2025-06-19--17h-48m-16s,53.0,1.0,4.0,62.0,120.0
2025-06-19--17h-48m-16s,47.0,0.0,3.0,70.0,120.0
2025-06-19--17h-48m-16s,42.0,0.0,9.0,69.0,120.0
2025-06-19--17h-48m-16s,36.0,0.0,8.0,76.0,120.0
