,Measurement Basis,TT,TR,RT,RR
0,H,63951,12301,71661,11562
1,D,29493,52733,19516,50686
2,R,60563,15972,62978,19104
3,V,10329,74967,13648,54618
4,A,45344,35696,66072,17059
5,L,13290,73864,21774,50652
