,basis,TT,TR,RT,RR
0,HH,44978,40,45,0
1,HD,20456,12,24846,13
2,HR,21056,15,24805,16
3,DH,22387,21223,18,14
4,DD,10197,9838,12141,11792
5,DR,10219,9835,12182,11567
6,RH,22805,21229,19,19
7,RD,10152,9905,12449,11788
8,RR,10183,9716,12196,11438
