Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,130737,518,129630,1217,260367,1735
1,D,65089,67372,61016,53309,126105,120681
2,R,65935,66388,60555,53965,126490,120353
3,V,279,131863,702,95241,981,227104
4,A,66343,65908,65276,49831,131619,115739
5,L,65084,66906,63001,51014,128085,117920
