data_dir,C,DB_H,DB_V,SB,N
2025-06-03--05h-10m-35s,1.0,32.0,12.0,35.0,80.0
2025-06-03--05h-10m-35s,1.5,27.0,20.0,32.0,80.5
2025-06-03--05h-10m-35s,2.5,25.0,18.0,34.5,80.0
2025-06-03--05h-10m-35s,3.5,19.0,18.0,39.0,79.5
2025-06-03--05h-10m-35s,2.5,23.0,19.0,35.5,80.0
2025-06-03--05h-10m-35s,2.0,31.0,15.0,33.0,81.0
2025-06-03--05h-10m-35s,4.0,27.0,13.0,36.5,80.5
2025-06-03--05h-10m-35s,0.5,22.0,22.0,35.0,79.5
2025-06-03--05h-10m-35s,0.0,25.0,16.0,39.0,80.0
2025-06-03--05h-10m-35s,4.0,12.0,22.0,41.0,79.0
2025-06-03--05h-10m-35s,1.5,17.0,15.0,47.5,81.0
2025-06-03--05h-10m-35s,1.5,27.0,14.0,36.5,79.0
2025-06-03--05h-10m-35s,2.5,23.0,26.0,28.5,80.0
2025-06-03--05h-10m-35s,1.5,28.0,17.0,33.5,80.0
2025-06-03--05h-10m-35s,2.0,22.0,22.0,34.0,80.0
2025-06-03--05h-10m-35s,2.5,20.0,26.0,31.5,80.0
2025-06-03--05h-10m-35s,1.5,20.0,20.0,38.0,79.5
2025-06-03--05h-10m-35s,2.0,19.0,27.0,32.0,80.0
2025-06-03--05h-10m-35s,1.5,21.0,23.0,34.0,79.5
2025-06-03--05h-10m-35s,4.5,20.0,17.0,39.0,80.5
2025-06-03--05h-10m-35s,3.0,21.0,21.0,35.5,80.5
2025-06-03--05h-10m-35s,3.5,26.0,22.0,29.0,80.5
2025-06-03--05h-10m-35s,2.0,19.0,24.0,35.0,80.0
2025-06-03--05h-10m-35s,0.5,25.0,23.0,31.5,80.0
2025-06-03--05h-10m-35s,2.5,24.0,22.0,31.5,80.0
2025-06-03--05h-10m-35s,1.5,34.0,15.0,29.5,80.0
2025-06-03--05h-10m-35s,2.0,14.0,28.0,35.5,79.5
2025-06-03--05h-10m-35s,1.0,21.0,14.0,44.0,80.0
2025-06-03--05h-10m-35s,1.0,26.0,20.0,33.0,80.0
2025-06-03--05h-10m-35s,0.0,28.0,18.0,34.0,80.0
2025-06-03--05h-10m-35s,1.5,20.0,25.0,34.0,80.5
2025-06-03--05h-10m-35s,3.0,23.0,19.0,35.0,80.0
2025-06-03--05h-10m-35s,1.5,25.0,22.0,32.0,80.5
2025-06-03--05h-10m-35s,2.0,12.0,31.0,35.5,80.5
2025-06-03--05h-10m-35s,2.5,24.0,23.0,31.5,81.0
2025-06-03--05h-10m-35s,1.5,25.0,19.0,34.5,80.0
2025-06-03--05h-10m-35s,0.0,24.0,18.0,38.5,80.5
2025-06-03--05h-10m-35s,3.5,15.0,23.0,38.5,80.0
2025-06-03--05h-10m-35s,2.0,26.0,18.0,34.0,80.0
2025-06-03--05h-10m-35s,4.0,25.0,15.0,36.0,80.0
2025-06-03--05h-10m-35s,0.5,27.0,16.0,36.0,79.5
2025-06-03--05h-10m-35s,4.0,21.0,23.0,32.5,80.5
2025-06-03--05h-10m-35s,1.5,17.0,19.0,42.0,79.5
2025-06-03--05h-10m-35s,3.0,29.0,16.0,32.0,80.0
2025-06-03--05h-10m-35s,1.5,27.0,17.0,34.0,79.5
2025-06-03--05h-10m-35s,3.0,25.0,18.0,33.5,79.5
2025-06-03--05h-10m-35s,1.0,22.0,20.0,37.0,80.0
2025-06-03--05h-10m-35s,3.0,26.0,12.0,39.5,80.5
2025-06-03--05h-10m-35s,1.5,27.0,16.0,35.5,80.0
2025-06-03--05h-10m-35s,4.5,20.0,21.0,35.0,80.5
2025-06-03--05h-10m-35s,1.5,25.0,19.0,33.5,79.0
2025-06-03--05h-10m-35s,2.5,22.0,24.0,32.0,80.5
2025-06-03--05h-10m-35s,3.5,28.0,17.0,30.5,79.0
2025-06-03--05h-10m-35s,1.0,27.0,19.0,34.0,81.0
2025-06-03--05h-10m-35s,0.5,24.0,19.0,36.5,80.0
2025-06-03--05h-10m-35s,0.5,28.0,22.0,29.0,79.5
2025-06-03--05h-10m-35s,3.0,18.0,16.0,43.0,80.0
2025-06-03--05h-10m-35s,2.0,18.0,21.0,39.0,80.0
2025-06-03--05h-10m-35s,2.5,19.0,17.0,42.5,81.0
2025-06-03--05h-10m-35s,1.5,26.0,21.0,31.0,79.5
2025-06-03--05h-10m-35s,1.0,22.0,25.0,32.5,80.5
2025-06-03--05h-10m-35s,3.0,20.0,19.0,37.5,79.5
2025-06-03--05h-10m-35s,1.5,25.0,24.0,30.0,80.5
2025-06-03--05h-10m-35s,3.0,17.0,23.0,37.5,80.5
2025-06-03--05h-10m-35s,1.0,18.0,30.0,31.0,80.0
2025-06-03--05h-10m-35s,2.0,28.0,22.0,27.5,79.5
2025-06-03--05h-10m-35s,1.0,22.0,22.0,34.5,79.5
2025-06-03--05h-10m-35s,1.0,23.0,16.0,40.5,80.5
2025-06-03--05h-10m-35s,1.5,20.0,28.0,31.0,80.5
2025-06-03--05h-10m-35s,1.5,27.0,21.0,31.5,81.0
2025-06-03--05h-10m-35s,0.0,24.0,23.0,32.0,79.0
2025-06-03--05h-10m-35s,1.0,23.0,18.0,39.0,81.0
2025-06-03--05h-10m-35s,1.5,22.0,16.0,40.5,80.0
2025-06-03--05h-10m-35s,2.5,21.0,21.0,35.5,80.0
2025-06-03--05h-10m-35s,2.0,29.0,14.0,35.0,80.0
2025-06-03--05h-10m-35s,2.0,21.0,17.0,39.5,79.5
2025-06-03--05h-10m-35s,1.5,25.0,17.0,36.5,80.0
2025-06-03--05h-10m-35s,3.5,21.0,23.0,33.0,80.5
2025-06-03--05h-10m-35s,1.5,20.0,24.0,34.0,79.5
2025-06-03--05h-10m-35s,3.0,21.0,17.0,39.0,80.0
2025-06-03--05h-10m-35s,2.5,23.0,16.0,38.5,80.0
2025-06-03--05h-10m-35s,1.5,17.0,22.0,39.0,79.5
2025-06-03--05h-10m-35s,1.5,16.0,32.0,30.5,80.0
2025-06-03--05h-10m-35s,1.5,22.0,20.0,37.5,81.0
2025-06-03--05h-10m-35s,2.0,21.0,14.0,42.5,79.5
2025-06-03--05h-10m-35s,1.0,18.0,21.0,41.0,81.0
2025-06-03--05h-10m-35s,0.0,18.0,29.0,32.0,79.0
2025-06-03--05h-10m-35s,1.0,24.0,19.0,36.0,80.0
2025-06-03--05h-10m-35s,1.5,21.0,25.0,31.5,79.0
2025-06-03--05h-10m-35s,2.5,27.0,17.0,32.5,79.0
2025-06-03--05h-10m-35s,2.5,22.0,26.0,30.0,80.5
2025-06-03--05h-10m-35s,3.0,26.0,15.0,36.0,80.0
2025-06-03--05h-10m-35s,1.5,21.0,24.0,33.5,80.0
2025-06-03--05h-10m-35s,2.0,31.0,10.0,36.5,79.5
