Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,5772,145237,12050,124911,17822,270148
1,D,101655,48141,120524,42915,222179,91056
2,R,76728,74183,111782,49964,188510,124147
3,V,141436,6092,168456,4588,309892,10680
4,A,45809,104227,61663,90059,107472,194286
5,L,72330,78849,72851,80508,145181,159357
