,Measurement Basis,TT,TR,RT,RR
0,H,38496,38793,46796,31383
1,D,67473,5028,87942,1062
2,R,20036,60173,45329,32422
3,V,33688,44451,47373,30779
4,A,4002,78591,601,65264
5,L,52587,23676,43077,34799
