,Measurement Basis,TT,TR,RT,RR
0,H,329,77142,624,63338
1,D,34266,38585,47515,31762
2,R,35205,37407,50937,29722
3,V,67774,477,90602,1137
4,A,33668,39988,45664,33043
5,L,32687,40704,44533,33640
