Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33961,28016,29624,26105,63585,54121
1,D,61806,1123,54542,1303,116348,2426
2,R,25571,35997,35691,20020,61262,56017
3,V,29468,32528,29963,25868,59431,58396
4,A,1032,59223,1469,53992,2501,113215
5,L,37892,24344,20745,34712,58637,59056
