,Measurement Basis,TT,TR,RT,RR
0,H,74319,28646,100676,27009
1,D,12938,101837,9012,99215
2,R,70461,34468,65635,55655
3,V,24140,89345,29238,81982
4,A,85107,15964,122698,9398
5,L,28705,83905,66325,55023
