,Measurement Basis,TT,TR,RT,RR
0,H,374,63332,408,64302
1,D,33902,32583,33857,31232
2,R,34616,31451,34858,29644
3,V,67940,510,64550,372
4,A,33912,31628,33182,31800
5,L,33592,32410,32587,32145
