,Measurement Basis,TT,TR,RT,RR
0,H,32577,32024,33708,31828
1,D,26311,37798,12643,53578
2,R,1105,61786,7594,57794
3,V,34169,31178,33363,32693
4,A,40512,25327,51854,12896
5,L,66432,1184,57955,7644
