detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir,estimation_label,corrected_estimation_label
1,4,2554318921273556992,2554318921273556992,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318921276276224,2554318921276276224,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921284775936,2554318921284775936,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921300547584,2554318921300547584,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,4,2554318921309455872,2554318921309455872,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318921317188096,2554318921317188096,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921319038464,2554318921319038464,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921328927232,2554318921328927232,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,4,2554318921332931584,2554318921332931584,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318921344433152,2554318921344433152,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921346733568,2554318921346733568,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921347291136,2554318921347291136,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921369838080,2554318921369838080,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,12,2554318921370707456,2554318921370707456,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921375616512,2554318921375616512,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921375731712,2554318921375731712,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921378934784,2554318921378934784,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921384585728,2554318921384585728,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
2,12,2554318921385060864,2554318921385060864,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
1,9,2554318921389598720,2554318921389598720,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318921389742080,2554318921389742080,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921390960128,2554318921390960128,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921393248256,2554318921393248256,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318921396908032,2554318921396908032,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921398059008,2554318921398059008,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
