data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--16h-55m-16s,0.0,34.0,0.0,6.0,40.0,0.5548110329800715,0.0
2025-05-23--16h-55m-16s,1.0,31.0,1.0,7.0,40.0,0.7227342478134156,0.3613671239067078
2025-05-23--16h-55m-16s,0.5,28.0,2.0,9.5,40.0,0.863211890069541,0.2255134058981312
2025-05-23--16h-55m-16s,1.0,65.0,1.0,13.0,80.0,0.6435011087932843,0.2705497629785729
2025-05-23--16h-55m-16s,1.5,93.0,3.0,22.5,120.0,0.7227342478134156,0.25268025514207865
