data_dir,C,DB_H,DB_V,SB,N
2025-05-28--19h-23m-35s,1.0,67.0,1.0,11.0,80.0
2025-05-28--19h-23m-35s,0.5,62.0,1.0,16.5,80.0
2025-05-28--19h-23m-35s,1.5,68.0,2.0,8.5,80.0
2025-05-28--19h-23m-35s,3.5,64.0,2.0,10.5,80.0
2025-05-28--19h-23m-35s,1.0,65.0,2.0,12.0,80.0
2025-05-28--19h-23m-35s,1.0,66.0,1.0,12.0,80.0
2025-05-28--19h-23m-35s,1.0,70.0,0.0,9.0,80.0
2025-05-28--19h-23m-35s,1.5,62.0,3.0,13.5,80.0
2025-05-28--19h-23m-35s,1.0,65.0,0.0,14.0,80.0
2025-05-28--19h-23m-35s,2.5,66.0,1.0,10.5,80.0
2025-05-28--19h-23m-35s,0.0,70.0,0.0,10.0,80.0
2025-05-28--19h-23m-35s,1.0,72.0,0.0,7.0,80.0
2025-05-28--19h-23m-35s,1.5,64.0,1.0,13.5,80.0
2025-05-28--19h-23m-35s,1.5,68.0,0.0,10.5,80.0
2025-05-28--19h-23m-35s,2.5,67.0,1.0,9.5,80.0
2025-05-28--19h-23m-35s,0.5,68.0,1.0,10.5,80.0
2025-05-28--19h-23m-35s,0.0,70.0,0.0,10.0,80.0
2025-05-28--19h-23m-35s,1.0,69.0,2.0,8.0,80.0
2025-05-28--19h-23m-35s,0.5,65.0,3.0,11.5,80.0
2025-05-28--19h-23m-35s,0.0,68.0,1.0,11.0,80.0
2025-05-28--19h-23m-35s,0.5,68.0,0.0,11.5,80.0
2025-05-28--19h-23m-35s,0.5,68.0,0.0,11.5,80.0
2025-05-28--19h-23m-35s,3.0,62.0,1.0,14.0,80.0
2025-05-28--19h-23m-35s,1.0,64.0,2.0,13.0,80.0
2025-05-28--19h-23m-35s,1.5,69.0,0.0,9.5,80.0
2025-05-28--19h-23m-35s,0.0,67.0,0.0,13.0,80.0
2025-05-28--19h-23m-35s,1.5,70.0,0.0,8.5,80.0
2025-05-28--19h-23m-35s,2.0,62.0,1.0,15.0,80.0
2025-05-28--19h-23m-35s,0.5,63.0,1.0,15.5,80.0
2025-05-28--19h-23m-35s,2.5,69.0,2.0,6.5,80.0
2025-05-28--19h-23m-35s,2.0,67.0,0.0,11.0,80.0
2025-05-28--19h-23m-35s,2.0,62.0,2.0,14.0,80.0
2025-05-28--19h-23m-35s,1.0,66.0,2.0,11.0,80.0
2025-05-28--19h-23m-35s,3.0,68.0,2.0,7.0,80.0
2025-05-28--19h-23m-35s,2.0,71.0,0.0,7.0,80.0
2025-05-28--19h-23m-35s,0.5,63.0,1.0,15.5,80.0
2025-05-28--19h-23m-35s,1.5,61.0,1.0,16.5,80.0
2025-05-28--19h-23m-35s,0.5,71.0,0.0,8.5,80.0
2025-05-28--19h-23m-35s,2.5,70.0,0.0,7.5,80.0
2025-05-28--19h-23m-35s,2.5,63.0,2.0,12.5,80.0
2025-05-28--19h-23m-35s,0.5,65.0,0.0,14.5,80.0
2025-05-28--19h-23m-35s,1.5,66.0,2.0,10.5,80.0
2025-05-28--19h-23m-35s,1.5,68.0,0.0,10.5,80.0
2025-05-28--19h-23m-35s,3.0,61.0,2.0,14.0,80.0
2025-05-28--19h-23m-35s,0.0,67.0,1.0,12.0,80.0
