,Measurement Basis,TT,TR,RT,RR
0,H,33747,28900,28625,27403
1,D,39432,22895,22861,33112
2,R,61291,1549,55845,944
3,V,29937,32171,28417,27375
4,A,23429,38010,33986,21834
5,L,1525,58760,1030,53642
