Unnamed: 0,basis,TT,TR,RT,RR,T,R
0,HH,22421,16,15,0,22436,16
1,HD,10459,8,12230,11,22689,19
2,HR,10331,7,12157,11,22488,18
3,DH,10805,10409,9,14,10814,10423
4,DD,5124,4944,5959,5789,11083,10733
5,DR,5040,4817,5922,5802,10962,10619
6,RH,11030,10282,10,7,11040,10289
7,RD,5234,4973,6060,5718,11294,10691
8,RR,5120,4842,5988,5815,11108,10657
