,basis,TT,TR,RT,RR
0,HH,22421,16,15,0
1,HD,10459,8,12230,11
2,HR,10331,7,12157,11
3,DH,10805,10409,9,14
4,DD,5124,4944,5959,5789
5,DR,5040,4817,5922,5802
6,RH,11030,10282,10,7
7,RD,5234,4973,6060,5718
8,RR,5120,4842,5988,5815
