Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,81445,17749,111334,16879,192779,34628
1,D,48566,57571,41805,71073,90371,128644
2,R,82495,17006,103387,23602,185882,40608
3,V,14510,96804,19081,87351,33591,184155
4,A,47135,58746,86048,35833,133183,94579
5,L,13642,98350,24422,85185,38064,183535
