Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,34091,28440,27698,27743,61789,56183
1,D,1043,59972,1624,53048,2667,113020
2,R,36961,25248,20936,34504,57897,59752
3,V,28858,32627,26962,28552,55820,61179
4,A,61444,1108,55335,1336,116779,2444
5,L,25750,35356,36104,19895,61854,55251
