,Measurement Basis,TT,TR,RT,RR
0,H,120388,22839,150368,20831
1,D,92951,52804,82228,75012
2,R,118855,26420,146024,24960
3,V,22381,125205,30827,113976
4,A,49925,96117,93454,66323
5,L,24775,122851,28480,117857
