detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir,estimation_label,corrected_estimation_label
1,9,2554317591093021184,2554317591093021184,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
4,12,2554317591104998912,2554317591104998912,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
9,12,2554317591106510336,2554317591106510336,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,DB_H,HH
1,4,2554317591109602304,2554317591109602304,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,DB_H,HH
4,9,2554317591118108672,2554317591118108672,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
4,9,2554317591135690240,2554317591135690240,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
1,4,2554317591158136320,2554317591158136320,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,DB_H,HH
1,12,2554317591160481280,2554317591160481280,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
4,12,2554317591162742784,2554317591162742784,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
4,12,2554317591176264704,2554317591176264704,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
4,12,2554317591181794304,2554317591181794304,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
1,4,2554317591191239168,2554317591191239168,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,DB_H,HH
9,12,2554317591195572224,2554317591195572224,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,DB_H,HH
1,4,2554317591205539840,2554317591205539840,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,DB_H,HH
1,12,2554317591211423232,2554317591211423232,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
1,9,2554317591215948288,2554317591215948288,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
4,9,2554317591223525376,2554317591223525376,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
9,12,2554317591224911360,2554317591224911360,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,DB_H,HH
1,4,2554317591226673664,2554317591226673664,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,DB_H,HH
4,9,2554317591231433728,2554317591231433728,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
4,9,2554317591237719040,2554317591237719040,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
4,12,2554317591243810816,2554317591243810816,2025-06-18--17h-45m-38s,H,H,2025-06-18--17h-44m-55s,C,HH
