,Measurement Basis,TT,TR,RT,RR
0,H,141771,466,175104,920
1,D,72873,72744,86855,72365
2,R,71133,74765,84165,74836
3,V,289,146366,3895,133120
4,A,69216,75080,86910,71483
5,L,71376,73562,86783,71589
