,Measurement Basis,TT,TR,RT,RR
0,H,32639,32085,32412,33615
1,D,26741,38271,12237,53922
2,R,66133,1215,56857,7982
3,V,34603,30737,31288,34650
4,A,39445,25306,52570,12128
5,L,1050,62146,7899,58416
