,Measurement Basis,TT,TR,RT,RR
0,H,33781,30649,34964,30858
1,D,65397,1413,56626,8364
2,R,40940,23972,53032,11838
3,V,33602,31837,32686,32573
4,A,1191,60520,8079,57756
5,L,26043,38471,11351,54122
