,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
69,14.4,0,0,0,361305,0,0,0,0,0,0,0,371274,0,0,0,0,81778,2
70,14.6,0,0,0,362686,0,0,0,0,0,0,0,370988,0,0,0,0,81821,2
71,14.8,0,0,0,360032,0,0,0,0,0,0,0,368044,0,0,0,0,81084,2
72,15.0,0,0,0,360168,0,0,0,0,0,0,0,367047,0,0,0,0,81216,2
73,15.2,0,0,0,360567,0,0,0,0,0,0,0,366777,0,0,0,0,81089,2
74,15.4,0,0,0,361450,0,0,0,0,0,0,0,368675,0,0,0,0,81494,2
75,15.6,0,0,0,360053,0,0,0,0,0,0,0,366783,0,0,0,0,80783,2
76,15.8,0,0,0,359225,0,0,0,0,0,0,0,366355,0,0,0,0,80256,2
77,16.0,0,0,0,362143,0,0,0,0,0,0,0,366372,0,0,0,0,80758,2
78,16.2,0,0,0,364226,0,0,0,0,0,0,0,370216,0,0,0,0,80989,2
79,16.4,0,0,0,362198,0,0,0,0,0,0,0,367579,0,0,0,0,80913,2
80,16.6,0,0,0,362157,0,0,0,0,0,0,0,368572,0,0,0,0,80395,2
81,16.8,0,0,0,362583,0,0,0,0,0,0,0,367209,0,0,0,0,80478,2
82,17.0,0,0,0,365191,0,0,0,0,0,0,0,368344,0,0,0,0,80957,2
83,17.2,0,0,0,363532,0,0,0,0,0,0,0,365864,0,0,0,0,80254,2
84,17.4,0,0,0,364866,0,0,0,0,0,0,0,369343,0,0,0,0,80585,2
85,17.6,0,0,0,363789,0,0,0,0,0,0,0,365749,0,0,0,0,80127,2
86,17.8,0,0,0,365075,0,0,0,0,0,0,0,367898,0,0,0,0,80373,2
87,18.0,0,0,0,365015,0,0,0,0,0,0,0,367419,0,0,0,0,80396,2
88,18.2,0,0,0,361568,0,0,0,0,0,0,0,362384,0,0,0,0,79353,2
89,18.4,0,0,0,360695,0,0,0,0,0,0,0,361874,0,0,0,0,79332,2
90,18.6,0,0,0,357654,0,0,0,0,0,0,0,362539,0,0,0,0,79692,2
91,18.8,0,0,0,362074,0,0,0,0,0,0,0,362097,0,0,0,0,79729,2
92,19.0,0,0,0,363252,0,0,0,0,0,0,0,364766,0,0,0,0,79741,2
93,19.2,0,0,0,355942,0,0,0,0,0,0,0,357746,0,0,0,0,78763,2
94,19.4,0,0,0,355170,0,0,0,0,0,0,0,357184,0,0,0,0,78832,2
95,19.6,0,0,0,356500,0,0,0,0,0,0,0,356239,0,0,0,0,78968,2
96,19.8,0,0,0,359723,0,0,0,0,0,0,0,359690,0,0,0,0,78276,2
97,20.0,0,0,0,358231,0,0,0,0,0,0,0,358970,0,0,0,0,79063,2
98,20.2,0,0,0,356617,0,0,0,0,0,0,0,356259,0,0,0,0,78699,2
99,20.4,0,0,0,354418,0,0,0,0,0,0,0,353800,0,0,0,0,78128,2
100,20.6,0,0,0,356587,0,0,0,0,0,0,0,353242,0,0,0,0,77672,2
101,20.8,0,0,0,354223,0,0,0,0,0,0,0,352178,0,0,0,0,77145,2
102,21.0,0,0,0,361416,0,0,0,0,0,0,0,357741,0,0,0,0,77754,2
103,21.2,0,0,0,358358,0,0,0,0,0,0,0,354633,0,0,0,0,77313,2
