Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,65684,534,65204,372,130888,906
1,D,32564,31437,30539,35587,63103,67024
2,R,32618,31532,30229,36326,62847,67858
3,V,396,61048,443,65419,839,126467
4,A,33251,30462,32719,33097,65970,63559
5,L,33347,30706,32516,33781,65863,64487
