,Measurement Basis,TT,TR,RT,RR
0,H,295,144000,4024,122827
1,D,73193,74769,91722,61764
2,R,75313,71991,95479,59227
3,V,145375,541,171650,1160
4,A,73887,72515,89741,62761
5,L,71634,75296,89445,63548
