,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,7.95,0,0,0,88089,0,0,0,0,0,0,0,88301,0,0,0,0,19962,2
1,8.35,0,0,0,88636,0,0,0,0,0,0,0,87795,0,0,0,0,19822,2
2,8.75,0,0,0,88469,0,0,0,0,0,0,0,88435,0,0,0,0,19857,2
3,9.15,0,0,0,88313,0,0,0,0,0,0,0,86873,0,0,0,0,18726,2
4,9.55,0,0,0,83748,0,0,0,0,0,0,0,83120,0,0,0,0,9380,2
5,9.75,0,0,0,80143,0,0,0,0,0,0,0,79739,0,0,0,0,2941,2
6,9.8,0,0,0,79851,0,0,0,0,0,0,0,79224,0,0,0,0,1694,2
7,9.85,0,0,0,79483,0,0,0,0,0,0,0,78588,0,0,0,0,954,2
8,9.9,0,0,0,79657,0,0,0,0,0,0,0,78613,0,0,0,0,474,2
9,9.95,0,0,0,79528,0,0,0,0,0,0,0,78701,0,0,0,0,374,2
10,10.0,0,0,0,79111,0,0,0,0,0,0,0,78244,0,0,0,0,658,2
11,10.05,0,0,0,79466,0,0,0,0,0,0,0,79506,0,0,0,0,1318,2
12,10.1,0,0,0,80644,0,0,0,0,0,0,0,79743,0,0,0,0,2440,2
13,10.15,0,0,0,81213,0,0,0,0,0,0,0,80297,0,0,0,0,3727,2
14,10.35,0,0,0,84413,0,0,0,0,0,0,0,83393,0,0,0,0,10072,2
15,10.75,0,0,0,88607,0,0,0,0,0,0,0,87513,0,0,0,0,18434,2
16,11.15,0,0,0,89386,0,0,0,0,0,0,0,88482,0,0,0,0,20173,2
17,11.55,0,0,0,89836,0,0,0,0,0,0,0,87510,0,0,0,0,20087,2
18,11.95,0,0,0,90144,0,0,0,0,0,0,0,88086,0,0,0,0,20270,2
