,Measurement Basis,TT,TR,RT,RR
0,H,33989,28036,27404,28212
1,D,1023,59469,1408,53549
2,R,37661,25222,21091,34659
3,V,29587,32634,26981,28927
4,A,62047,1177,54982,1391
5,L,25916,36041,36342,20432
