detector_a_name,detector_b_name,estimation_label,tomography_setting_a,tomography_setting_b,repetition,coincidences,timestamp
9,12,DB_H,H,H,0,1,2025-05-28--11h-38m-51s-548394
9,11,SB,H,H,0,0,2025-05-28--11h-38m-51s-548394
9,10,SB,H,H,0,0,2025-05-28--11h-38m-51s-548394
11,12,SB,H,H,0,0,2025-05-28--11h-38m-51s-548394
10,12,SB,H,H,0,0,2025-05-28--11h-38m-51s-548394
10,11,DB_V,H,H,0,0,2025-05-28--11h-38m-51s-548394
1,9,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
1,12,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
1,11,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
1,10,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
1,4,DB_H,H,H,0,0,2025-05-28--11h-38m-51s-548394
1,7,SB,H,H,0,0,2025-05-28--11h-38m-51s-548394
1,2,SB,H,H,0,0,2025-05-28--11h-38m-51s-548394
4,9,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
4,12,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
4,11,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
4,10,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
4,7,SB,H,H,0,0,2025-05-28--11h-38m-51s-548394
7,9,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
7,12,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
7,11,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
7,10,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
2,9,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
2,12,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
2,11,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
2,10,C,H,H,0,0,2025-05-28--11h-38m-51s-548394
2,4,SB,H,H,0,0,2025-05-28--11h-38m-51s-548394
2,7,DB_V,H,H,0,0,2025-05-28--11h-38m-51s-548394
9,12,DB_H,H,H,1,1,2025-05-28--11h-38m-51s-575480
9,11,SB,H,H,1,0,2025-05-28--11h-38m-51s-575480
9,10,SB,H,H,1,0,2025-05-28--11h-38m-51s-575480
11,12,SB,H,H,1,0,2025-05-28--11h-38m-51s-575480
10,12,SB,H,H,1,0,2025-05-28--11h-38m-51s-575480
10,11,DB_V,H,H,1,0,2025-05-28--11h-38m-51s-575480
1,9,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
1,12,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
1,11,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
1,10,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
1,4,DB_H,H,H,1,0,2025-05-28--11h-38m-51s-575480
1,7,SB,H,H,1,0,2025-05-28--11h-38m-51s-575480
1,2,SB,H,H,1,0,2025-05-28--11h-38m-51s-575480
4,9,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
4,12,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
4,11,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
4,10,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
4,7,SB,H,H,1,0,2025-05-28--11h-38m-51s-575480
7,9,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
7,12,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
7,11,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
7,10,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
2,9,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
2,12,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
2,11,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
2,10,C,H,H,1,0,2025-05-28--11h-38m-51s-575480
2,4,SB,H,H,1,0,2025-05-28--11h-38m-51s-575480
2,7,DB_V,H,H,1,0,2025-05-28--11h-38m-51s-575480
9,12,DB_H,H,H,2,0,2025-05-28--11h-38m-51s-596676
9,11,SB,H,H,2,0,2025-05-28--11h-38m-51s-596676
9,10,SB,H,H,2,0,2025-05-28--11h-38m-51s-596676
11,12,SB,H,H,2,0,2025-05-28--11h-38m-51s-596676
10,12,SB,H,H,2,0,2025-05-28--11h-38m-51s-596676
10,11,DB_V,H,H,2,0,2025-05-28--11h-38m-51s-596676
1,9,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
1,12,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
1,11,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
1,10,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
1,4,DB_H,H,H,2,1,2025-05-28--11h-38m-51s-596676
1,7,SB,H,H,2,0,2025-05-28--11h-38m-51s-596676
1,2,SB,H,H,2,0,2025-05-28--11h-38m-51s-596676
4,9,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
4,12,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
4,11,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
4,10,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
4,7,SB,H,H,2,0,2025-05-28--11h-38m-51s-596676
7,9,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
7,12,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
7,11,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
7,10,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
2,9,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
2,12,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
2,11,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
2,10,C,H,H,2,0,2025-05-28--11h-38m-51s-596676
2,4,SB,H,H,2,0,2025-05-28--11h-38m-51s-596676
2,7,DB_V,H,H,2,0,2025-05-28--11h-38m-51s-596676
9,12,DB_H,H,H,3,0,2025-05-28--11h-38m-51s-617310
9,11,SB,H,H,3,0,2025-05-28--11h-38m-51s-617310
9,10,SB,H,H,3,0,2025-05-28--11h-38m-51s-617310
11,12,SB,H,H,3,1,2025-05-28--11h-38m-51s-617310
10,12,SB,H,H,3,0,2025-05-28--11h-38m-51s-617310
10,11,DB_V,H,H,3,0,2025-05-28--11h-38m-51s-617310
1,9,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
1,12,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
1,11,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
1,10,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
1,4,DB_H,H,H,3,0,2025-05-28--11h-38m-51s-617310
1,7,SB,H,H,3,0,2025-05-28--11h-38m-51s-617310
1,2,SB,H,H,3,0,2025-05-28--11h-38m-51s-617310
4,9,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
4,12,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
4,11,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
4,10,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
4,7,SB,H,H,3,0,2025-05-28--11h-38m-51s-617310
7,9,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
7,12,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
7,11,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
7,10,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
2,9,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
2,12,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
2,11,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
2,10,C,H,H,3,0,2025-05-28--11h-38m-51s-617310
2,4,SB,H,H,3,0,2025-05-28--11h-38m-51s-617310
2,7,DB_V,H,H,3,0,2025-05-28--11h-38m-51s-617310
9,12,DB_H,H,H,4,0,2025-05-28--11h-38m-51s-637425
9,11,SB,H,H,4,0,2025-05-28--11h-38m-51s-637425
9,10,SB,H,H,4,0,2025-05-28--11h-38m-51s-637425
11,12,SB,H,H,4,0,2025-05-28--11h-38m-51s-637425
10,12,SB,H,H,4,0,2025-05-28--11h-38m-51s-637425
10,11,DB_V,H,H,4,0,2025-05-28--11h-38m-51s-637425
1,9,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
1,12,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
1,11,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
1,10,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
1,4,DB_H,H,H,4,2,2025-05-28--11h-38m-51s-637425
1,7,SB,H,H,4,0,2025-05-28--11h-38m-51s-637425
1,2,SB,H,H,4,0,2025-05-28--11h-38m-51s-637425
4,9,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
4,12,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
4,11,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
4,10,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
4,7,SB,H,H,4,0,2025-05-28--11h-38m-51s-637425
7,9,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
7,12,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
7,11,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
7,10,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
2,9,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
2,12,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
2,11,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
2,10,C,H,H,4,0,2025-05-28--11h-38m-51s-637425
2,4,SB,H,H,4,0,2025-05-28--11h-38m-51s-637425
2,7,DB_V,H,H,4,0,2025-05-28--11h-38m-51s-637425
9,12,DB_H,H,H,5,0,2025-05-28--11h-38m-51s-658077
9,11,SB,H,H,5,0,2025-05-28--11h-38m-51s-658077
9,10,SB,H,H,5,0,2025-05-28--11h-38m-51s-658077
11,12,SB,H,H,5,0,2025-05-28--11h-38m-51s-658077
10,12,SB,H,H,5,0,2025-05-28--11h-38m-51s-658077
10,11,DB_V,H,H,5,0,2025-05-28--11h-38m-51s-658077
1,9,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
1,12,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
1,11,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
1,10,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
1,4,DB_H,H,H,5,3,2025-05-28--11h-38m-51s-658077
1,7,SB,H,H,5,0,2025-05-28--11h-38m-51s-658077
1,2,SB,H,H,5,0,2025-05-28--11h-38m-51s-658077
4,9,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
4,12,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
4,11,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
4,10,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
4,7,SB,H,H,5,0,2025-05-28--11h-38m-51s-658077
7,9,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
7,12,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
7,11,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
7,10,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
2,9,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
2,12,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
2,11,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
2,10,C,H,H,5,0,2025-05-28--11h-38m-51s-658077
2,4,SB,H,H,5,0,2025-05-28--11h-38m-51s-658077
2,7,DB_V,H,H,5,0,2025-05-28--11h-38m-51s-658077
9,12,DB_H,H,H,6,0,2025-05-28--11h-38m-51s-678142
9,11,SB,H,H,6,0,2025-05-28--11h-38m-51s-678142
9,10,SB,H,H,6,0,2025-05-28--11h-38m-51s-678142
11,12,SB,H,H,6,0,2025-05-28--11h-38m-51s-678142
10,12,SB,H,H,6,0,2025-05-28--11h-38m-51s-678142
10,11,DB_V,H,H,6,0,2025-05-28--11h-38m-51s-678142
1,9,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
1,12,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
1,11,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
1,10,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
1,4,DB_H,H,H,6,1,2025-05-28--11h-38m-51s-678142
1,7,SB,H,H,6,0,2025-05-28--11h-38m-51s-678142
1,2,SB,H,H,6,0,2025-05-28--11h-38m-51s-678142
4,9,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
4,12,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
4,11,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
4,10,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
4,7,SB,H,H,6,0,2025-05-28--11h-38m-51s-678142
7,9,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
7,12,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
7,11,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
7,10,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
2,9,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
2,12,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
2,11,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
2,10,C,H,H,6,0,2025-05-28--11h-38m-51s-678142
2,4,SB,H,H,6,0,2025-05-28--11h-38m-51s-678142
2,7,DB_V,H,H,6,0,2025-05-28--11h-38m-51s-678142
9,12,DB_H,H,H,7,1,2025-05-28--11h-38m-51s-701032
9,11,SB,H,H,7,0,2025-05-28--11h-38m-51s-701032
9,10,SB,H,H,7,0,2025-05-28--11h-38m-51s-701032
11,12,SB,H,H,7,0,2025-05-28--11h-38m-51s-701032
10,12,SB,H,H,7,0,2025-05-28--11h-38m-51s-701032
10,11,DB_V,H,H,7,0,2025-05-28--11h-38m-51s-701032
1,9,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
1,12,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
1,11,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
1,10,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
1,4,DB_H,H,H,7,1,2025-05-28--11h-38m-51s-701032
1,7,SB,H,H,7,0,2025-05-28--11h-38m-51s-701032
1,2,SB,H,H,7,0,2025-05-28--11h-38m-51s-701032
4,9,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
4,12,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
4,11,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
4,10,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
4,7,SB,H,H,7,0,2025-05-28--11h-38m-51s-701032
7,9,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
7,12,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
7,11,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
7,10,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
2,9,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
2,12,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
2,11,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
2,10,C,H,H,7,0,2025-05-28--11h-38m-51s-701032
2,4,SB,H,H,7,0,2025-05-28--11h-38m-51s-701032
2,7,DB_V,H,H,7,0,2025-05-28--11h-38m-51s-701032
9,12,DB_H,H,H,8,2,2025-05-28--11h-38m-51s-721107
9,11,SB,H,H,8,0,2025-05-28--11h-38m-51s-721107
9,10,SB,H,H,8,0,2025-05-28--11h-38m-51s-721107
11,12,SB,H,H,8,0,2025-05-28--11h-38m-51s-721107
10,12,SB,H,H,8,0,2025-05-28--11h-38m-51s-721107
10,11,DB_V,H,H,8,0,2025-05-28--11h-38m-51s-721107
1,9,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
1,12,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
1,11,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
1,10,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
1,4,DB_H,H,H,8,1,2025-05-28--11h-38m-51s-721107
1,7,SB,H,H,8,0,2025-05-28--11h-38m-51s-721107
1,2,SB,H,H,8,0,2025-05-28--11h-38m-51s-721107
4,9,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
4,12,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
4,11,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
4,10,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
4,7,SB,H,H,8,0,2025-05-28--11h-38m-51s-721107
7,9,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
7,12,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
7,11,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
7,10,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
2,9,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
2,12,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
2,11,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
2,10,C,H,H,8,0,2025-05-28--11h-38m-51s-721107
2,4,SB,H,H,8,0,2025-05-28--11h-38m-51s-721107
2,7,DB_V,H,H,8,0,2025-05-28--11h-38m-51s-721107
9,12,DB_H,H,H,9,0,2025-05-28--11h-38m-51s-740482
9,11,SB,H,H,9,0,2025-05-28--11h-38m-51s-740482
9,10,SB,H,H,9,0,2025-05-28--11h-38m-51s-740482
11,12,SB,H,H,9,0,2025-05-28--11h-38m-51s-740482
10,12,SB,H,H,9,0,2025-05-28--11h-38m-51s-740482
10,11,DB_V,H,H,9,0,2025-05-28--11h-38m-51s-740482
1,9,C,H,H,9,0,2025-05-28--11h-38m-51s-740482
1,12,C,H,H,9,0,2025-05-28--11h-38m-51s-740482
