data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-06-01--01h-03m-47s,5.0,13.0,8.0,13.0,39.0,,1.4422373667534711,0.5551211675567871
2025-06-01--01h-03m-47s,4.0,16.0,8.0,11.0,39.0,,1.3642016307023015,0.5426391022496527
2025-06-01--01h-03m-47s,4.0,9.0,14.0,14.0,41.0,,1.6930518658346783,0.49088267828931137
2025-06-01--01h-03m-47s,5.0,10.0,9.0,17.0,41.0,,1.5464036640172414,0.4969324907792199
2025-06-01--01h-03m-47s,5.5,10.0,10.0,14.5,40.0,,1.5707963267948966,0.5520154938738001
2025-06-01--01h-03m-47s,6.5,16.0,6.0,12.5,41.0,,1.3244085353855886,0.6247538687650431
2025-06-01--01h-03m-47s,6.5,11.0,7.0,16.5,41.0,,1.4730799179457903,0.5604997331852695
2025-06-01--01h-03m-47s,7.5,8.0,11.0,14.0,40.5,,1.6449383090286596,0.6318324317010864
2025-06-01--01h-03m-47s,8.5,17.0,6.0,9.5,41.0,,1.299176027757726,0.7576060767569895
2025-06-01--01h-03m-47s,4.5,13.0,15.0,8.5,41.0,,1.619596181165559,0.6290148024266758
2025-06-01--01h-03m-47s,4.0,11.0,14.0,10.5,39.5,,1.646818900604835,0.552980357273746
2025-06-01--01h-03m-47s,4.5,10.0,13.0,13.0,40.5,,1.6449383090286596,0.5318080969475676
2025-06-01--01h-03m-47s,8.0,7.0,10.0,14.0,39.0,,1.6477954674517201,0.6472848480156524
2025-06-01--01h-03m-47s,6.5,8.0,12.0,14.0,40.5,,1.669723037567748,0.5981232198344094
2025-06-01--01h-03m-47s,3.5,14.0,14.0,8.5,40.0,,1.5707963267948966,0.5705104477451844
2025-06-01--01h-03m-47s,5.0,13.0,12.0,9.5,39.5,,1.545477166002274,0.6276202888482684
2025-06-01--01h-03m-47s,7.0,9.0,8.0,15.0,39.0,,1.5451524906547789,0.5993138964172853
2025-06-01--01h-03m-47s,13.0,7.0,9.0,12.0,41.0,,1.619596181165559,0.8054035005744428
2025-06-01--01h-03m-47s,5.0,13.0,7.0,15.5,40.5,,1.4221008325273343,0.5165288251587205
2025-06-01--01h-03m-47s,8.0,8.0,12.0,11.5,39.5,,1.672236029408577,0.6951655931994405
2025-06-01--01h-03m-47s,5.0,10.0,13.0,11.5,39.5,,1.646818900604835,0.5829413386534084
2025-06-01--01h-03m-47s,5.0,10.0,12.0,12.5,39.5,,1.6214508977136237,0.5639426413606289
2025-06-01--01h-03m-47s,9.0,14.0,9.0,7.5,39.5,,1.443873547896691,0.8309155524161558
2025-06-01--01h-03m-47s,6.0,14.0,9.0,10.0,39.0,,1.4422373667534711,0.659058035826409
2025-06-01--01h-03m-47s,7.0,18.0,5.0,10.0,40.0,,1.2397845987056022,0.6966983611772631
2025-06-01--01h-03m-47s,6.5,12.0,10.0,11.5,40.0,,1.5207754699891267,0.6446581267820258
2025-06-01--01h-03m-47s,5.5,12.0,10.0,11.5,39.0,,1.5194917715306968,0.6050418032156859
2025-06-01--01h-03m-47s,6.5,9.0,11.0,12.5,39.0,,1.6221008820590965,0.6247538687650431
2025-06-01--01h-03m-47s,3.5,17.0,7.0,13.5,41.0,,1.3244085353855886,0.47096070064992246
2025-06-01--01h-03m-47s,7.0,14.0,6.0,14.0,41.0,,1.3744145369859835,0.6154797086703874
2025-06-01--01h-03m-47s,6.5,7.0,6.0,21.0,40.5,,1.5461024591797445,0.5077043367706574
2025-06-01--01h-03m-47s,7.0,11.0,10.0,11.5,39.5,,1.545477166002274,0.6625441004682162
2025-06-01--01h-03m-47s,5.0,15.0,10.0,10.5,40.5,,1.447023753236062,0.6040273907814637
2025-06-01--01h-03m-47s,9.0,6.0,14.0,11.0,40.0,,1.7721542475852274,0.7353144528166684
2025-06-01--01h-03m-47s,7.5,10.0,10.0,12.5,40.0,,1.5707963267948966,0.659058035826409
2025-06-01--01h-03m-47s,6.0,12.0,14.0,9.0,41.0,,1.619596181165559,0.684719203002283
2025-06-01--01h-03m-47s,4.5,9.0,9.0,17.0,39.5,,1.5707963267948966,0.4751768494980951
2025-06-01--01h-03m-47s,6.5,10.0,14.0,10.0,40.5,,1.669723037567748,0.6785256342915735
2025-06-01--01h-03m-47s,6.0,17.0,8.0,8.0,39.0,,1.3379281485368142,0.7137243789447656
2025-06-01--01h-03m-47s,4.0,13.0,10.0,14.0,41.0,,1.4975601451312728,0.49088267828931137
2025-06-01--01h-03m-47s,7.0,11.0,11.0,10.0,39.0,,1.5707963267948966,0.6966983611772631
2025-06-01--01h-03m-47s,3.5,10.0,11.0,14.5,39.0,,1.5964401629350142,0.4566663852066264
2025-06-01--01h-03m-47s,6.5,7.0,10.0,15.5,39.0,,1.6477954674517201,0.5746693791637978
2025-06-01--01h-03m-47s,5.0,16.0,6.0,12.5,39.5,,1.3148463452348609,0.5639426413606289
2025-06-01--01h-03m-47s,8.0,10.0,11.0,11.5,40.5,,1.5954901944100486,0.6951655931994405
2025-06-01--01h-03m-47s,4.0,10.0,14.0,12.5,40.5,,1.669723037567748,0.5148059551198108
2025-06-01--01h-03m-47s,7.5,9.0,13.0,10.0,39.5,,1.672236029408577,0.7137243789447656
2025-06-01--01h-03m-47s,5.5,14.0,11.0,8.5,39.0,,1.493797186138073,0.6774179140549702
2025-06-01--01h-03m-47s,8.0,10.0,7.0,15.5,40.5,,1.4966543445611338,0.6229825009812826
2025-06-01--01h-03m-47s,3.5,10.0,12.0,14.0,39.5,,1.6214508977136237,0.4636476090008061
2025-06-01--01h-03m-47s,7.0,13.0,9.0,12.0,41.0,,1.4730799179457903,0.6522511548383569
2025-06-01--01h-03m-47s,7.5,8.0,13.0,12.5,41.0,,1.6930518658346783,0.659058035826409
2025-06-01--01h-03m-47s,6.0,13.0,11.0,11.0,41.0,,1.5219964724242343,0.6361320628050102
2025-06-01--01h-03m-47s,8.5,13.0,6.0,11.5,39.0,,1.390331186398881,0.7101140270091053
2025-06-01--01h-03m-47s,5.0,14.0,9.0,12.0,40.0,,1.445468495626831,0.573203309100855
2025-06-01--01h-03m-47s,7.5,8.0,9.0,14.5,39.0,,1.5964401629350142,0.6234926557606733
2025-06-01--01h-03m-47s,8.0,8.0,10.0,13.5,39.5,,1.6214508977136237,0.6560533740603397
2025-06-01--01h-03m-47s,11.0,11.0,7.0,10.0,39.0,,1.468051548929302,0.80921669470965
2025-06-01--01h-03m-47s,5.5,10.0,16.0,8.5,40.0,,1.7213645995715827,0.6774179140549702
2025-06-01--01h-03m-47s,9.0,11.0,8.0,11.5,39.5,,1.4947737529849583,0.7242703938775575
2025-06-01--01h-03m-47s,6.0,13.0,6.0,14.0,39.0,,1.390331186398881,0.5796397403637042
2025-06-01--01h-03m-47s,4.5,17.0,7.0,12.0,40.5,,1.321302406947611,0.5494672447576273
2025-06-01--01h-03m-47s,7.0,11.0,11.0,10.0,39.0,,1.5707963267948966,0.6966983611772631
2025-06-01--01h-03m-47s,7.5,16.0,6.0,9.5,39.0,,1.3114898705221194,0.7264380873848237
2025-06-01--01h-03m-47s,6.5,9.0,13.0,12.0,40.5,,1.669723037567748,0.6344678088771006
2025-06-01--01h-03m-47s,4.5,9.0,10.0,16.0,39.5,,1.5961154875875192,0.48761624271510606
2025-06-01--01h-03m-47s,6.5,11.0,11.0,11.0,39.5,,1.5707963267948966,0.6553659270402518
2025-06-01--01h-03m-47s,5.5,7.0,13.0,14.0,39.5,,1.7232853429069952,0.5598805677444993
2025-06-01--01h-03m-47s,3.5,11.0,13.0,11.5,39.0,,1.6221008820590965,0.5041300411255205
2025-06-01--01h-03m-47s,7.0,10.0,11.0,11.5,39.5,,1.5961154875875192,0.6625441004682162
2025-06-01--01h-03m-47s,6.5,14.0,10.0,9.5,40.0,,1.4706289056333368,0.6910899703097463
2025-06-01--01h-03m-47s,7.5,8.0,11.0,14.0,40.5,,1.6449383090286596,0.6318324317010864
2025-06-01--01h-03m-47s,4.0,13.0,12.0,11.5,40.5,,1.5461024591797445,0.5328618685245151
2025-06-01--01h-03m-47s,5.0,11.0,14.0,10.5,40.5,,1.6449383090286596,0.6040273907814637
2025-06-01--01h-03m-47s,10.0,12.0,8.0,9.5,39.5,,1.4693566241812164,0.7982200814675071
2025-06-01--01h-03m-47s,5.0,14.0,9.0,12.5,40.5,,1.447023753236062,0.5639426413606289
2025-06-01--01h-03m-47s,3.5,12.0,11.0,13.5,40.0,,1.5457937218955355,0.47096070064992246
2025-06-01--01h-03m-47s,7.5,13.0,9.0,11.0,40.5,,1.4718696160220452,0.6902299844372483
2025-06-01--01h-03m-47s,5.0,11.0,11.0,12.5,39.5,,1.5707963267948966,0.5639426413606289
2025-06-01--01h-03m-47s,4.5,15.0,7.0,13.5,40.0,,1.369438406004566,0.5235987755982988
2025-06-01--01h-03m-47s,10.0,6.0,8.0,15.5,39.5,,1.6214508977136237,0.6767008672636091
2025-06-01--01h-03m-47s,5.0,9.0,14.0,11.0,39.0,,1.699355286836322,0.5931997761496287
2025-06-01--01h-03m-47s,6.5,18.0,2.0,13.0,39.5,,1.1537482727751458,0.6154797086703874
2025-06-01--01h-03m-47s,8.5,9.0,10.0,13.5,41.0,,1.5951889895725517,0.6707600617904583
2025-06-01--01h-03m-47s,6.5,8.0,10.0,15.5,40.0,,1.6208171836006666,0.5746693791637978
2025-06-01--01h-03m-47s,6.0,10.0,8.0,16.0,40.0,,1.5207754699891267,0.5494672447576273
2025-06-01--01h-03m-47s,4.5,10.0,12.0,13.5,40.0,,1.6208171836006666,0.5235987755982988
2025-06-01--01h-03m-47s,6.5,11.0,8.0,14.5,40.0,,1.4957258357181802,0.5899850981097275
2025-06-01--01h-03m-47s,8.5,4.0,17.0,11.5,41.0,,1.8934381485169793,0.7101140270091053
2025-06-01--01h-03m-47s,7.5,12.0,9.0,12.0,40.5,,1.4966543445611338,0.6689640742684072
2025-06-01--01h-03m-47s,8.0,9.0,14.0,10.0,41.0,,1.6930518658346783,0.7297276562269663
2025-06-01--01h-03m-47s,6.0,12.0,13.0,9.5,40.5,,1.5954901944100486,0.671512768604101
2025-06-01--01h-03m-47s,7.5,14.0,5.0,13.0,39.5,,1.3409292473275063,0.6495880138788629
2025-06-01--01h-03m-47s,5.5,11.0,9.0,14.5,40.0,,1.5207754699891267,0.5520154938738001
2025-06-01--01h-03m-47s,4.5,16.0,9.0,9.5,39.0,,1.390331186398881,0.6027945527522649
2025-06-01--01h-03m-47s,4.5,9.0,16.0,9.5,39.0,,1.7512614671909121,0.6027945527522649
2025-06-01--01h-03m-47s,5.5,11.0,11.0,13.5,41.0,,1.5707963267948966,0.5680954005937647
2025-06-01--01h-03m-47s,6.5,11.0,10.0,11.5,39.0,,1.5451524906547789,0.6446581267820258
2025-06-01--01h-03m-47s,2.5,14.0,12.0,11.0,39.5,,1.5201417558761694,0.4448599693379471
2025-06-01--01h-03m-47s,6.5,15.0,6.0,12.0,39.5,,1.3409292473275063,0.6344678088771006
2025-06-01--01h-03m-47s,9.5,12.0,9.0,9.0,39.5,,1.4947737529849583,0.7989133226325875
2025-06-01--01h-03m-47s,3.5,12.0,9.0,16.5,41.0,,1.4975601451312728,0.4316059450347705
2025-06-01--01h-03m-47s,6.0,14.0,8.0,11.0,39.0,,1.4163367283107124,0.6361320628050102
2025-06-01--01h-03m-47s,4.5,15.0,6.0,14.0,39.5,,1.3409292473275063,0.5157609572383085
2025-06-01--01h-03m-47s,6.5,9.0,10.0,13.5,39.0,,1.5964401629350142,0.6066126115746932
2025-06-01--01h-03m-47s,8.0,6.0,9.0,16.0,39.0,,1.6477954674517201,0.6154797086703874
2025-06-01--01h-03m-47s,6.0,12.0,12.0,11.0,41.0,,1.5707963267948966,0.6361320628050102
2025-06-01--01h-03m-47s,10.5,13.0,7.0,10.5,41.0,,1.4239274272662386,0.7853981633974483
2025-06-01--01h-03m-47s,6.5,10.0,10.0,13.0,39.5,,1.5707963267948966,0.6154797086703874
2025-06-01--01h-03m-47s,7.5,9.0,11.0,12.5,40.0,,1.6208171836006666,0.659058035826409
2025-06-01--01h-03m-47s,4.5,16.0,8.0,11.5,40.0,,1.369438406004566,0.5589898660249855
2025-06-01--01h-03m-47s,6.0,14.0,9.0,10.0,39.0,,1.4422373667534711,0.659058035826409
2025-06-01--01h-03m-47s,7.5,14.0,5.0,13.5,40.0,,1.3438532906163767,0.6405223126794246
2025-06-01--01h-03m-47s,7.5,13.0,9.0,10.5,40.0,,1.4706289056333368,0.7016741237876036
2025-06-01--01h-03m-47s,5.0,12.0,10.0,13.0,40.0,,1.5207754699891267,0.5551211675567871
