,Measurement Basis,TT,TR,RT,RR
0,H,34016,27910,27421,28052
1,D,963,59135,1539,52655
2,R,37285,25430,21124,34467
3,V,29010,32660,26759,28817
4,A,61691,1088,54997,1422
5,L,26083,35434,35964,19659
