data_dir,C,SB,DB_V,DB_H,N
2025-06-03--18h-33m-16s,89.0,3.0,81.0,27.0,200.0
2025-06-03--18h-33m-16s,93.0,5.0,85.0,17.0,200.0
2025-06-03--18h-33m-16s,101.0,5.0,74.0,20.0,200.0
2025-06-03--18h-33m-16s,85.0,2.0,83.0,30.0,200.0
2025-06-03--18h-33m-16s,79.0,7.0,86.0,28.0,200.0
2025-06-03--18h-33m-16s,80.0,1.0,98.0,21.0,200.0
2025-06-03--18h-33m-16s,77.0,4.0,99.0,20.0,200.0
2025-06-03--18h-33m-16s,93.0,6.0,76.0,25.0,200.0
2025-06-03--18h-33m-16s,75.0,4.0,94.0,27.0,200.0
2025-06-03--18h-33m-16s,89.0,2.0,84.0,25.0,200.0
2025-06-03--18h-33m-16s,74.0,4.0,94.0,28.0,200.0
2025-06-03--18h-33m-16s,94.0,5.0,68.0,33.0,200.0
2025-06-03--18h-33m-16s,101.0,0.0,69.0,30.0,200.0
2025-06-03--18h-33m-16s,91.0,3.0,75.0,31.0,200.0
2025-06-03--18h-33m-16s,87.0,1.0,85.0,27.0,200.0
2025-06-03--18h-33m-16s,71.0,6.0,90.0,33.0,200.0
2025-06-03--18h-33m-16s,79.0,4.0,90.0,27.0,200.0
2025-06-03--18h-33m-16s,89.0,3.0,79.0,29.0,200.0
2025-06-03--18h-33m-16s,91.0,3.0,81.0,25.0,200.0
2025-06-03--18h-33m-16s,99.0,4.0,70.0,27.0,200.0
2025-06-03--18h-33m-16s,100.0,4.0,73.0,23.0,200.0
2025-06-03--18h-33m-16s,85.0,3.0,88.0,24.0,200.0
2025-06-03--18h-33m-16s,80.0,1.0,98.0,21.0,200.0
2025-06-03--18h-33m-16s,85.0,0.0,84.0,31.0,200.0
2025-06-03--18h-33m-16s,82.0,4.0,89.0,25.0,200.0
2025-06-03--18h-33m-16s,93.0,1.0,84.0,22.0,200.0
2025-06-03--18h-33m-16s,85.0,3.0,91.0,21.0,200.0
2025-06-03--18h-33m-16s,87.0,5.0,85.0,23.0,200.0
2025-06-03--18h-33m-16s,88.0,6.0,79.0,27.0,200.0
2025-06-03--18h-33m-16s,81.0,4.0,94.0,21.0,200.0
2025-06-03--18h-33m-16s,85.0,3.0,87.0,25.0,200.0
2025-06-03--18h-33m-16s,73.0,5.0,91.0,31.0,200.0
2025-06-03--18h-33m-16s,105.0,2.0,67.0,26.0,200.0
2025-06-03--18h-33m-16s,80.0,5.0,95.0,20.0,200.0
2025-06-03--18h-33m-16s,95.0,5.0,81.0,19.0,200.0
2025-06-03--18h-33m-16s,93.0,6.0,76.0,25.0,200.0
2025-06-03--18h-33m-16s,85.0,4.0,80.0,31.0,200.0
2025-06-03--18h-33m-16s,81.0,3.0,88.0,28.0,200.0
2025-06-03--18h-33m-16s,86.0,1.0,80.0,33.0,200.0
2025-06-03--18h-33m-16s,91.0,2.0,80.0,27.0,200.0
2025-06-03--18h-33m-16s,96.0,4.0,78.0,22.0,200.0
2025-06-03--18h-33m-16s,92.0,5.0,81.0,22.0,200.0
2025-06-03--18h-33m-16s,88.0,7.0,76.0,29.0,200.0
2025-06-03--18h-33m-16s,89.0,1.0,85.0,25.0,200.0
2025-06-03--18h-33m-16s,79.0,3.0,90.0,28.0,200.0
2025-06-03--18h-33m-16s,87.0,4.0,87.0,22.0,200.0
2025-06-03--18h-33m-16s,83.0,3.0,83.0,31.0,200.0
2025-06-03--18h-33m-16s,90.0,1.0,77.0,32.0,200.0
2025-06-03--18h-33m-16s,90.0,5.0,84.0,21.0,200.0
2025-06-03--18h-33m-16s,87.0,1.0,83.0,29.0,200.0
2025-06-03--18h-33m-16s,89.0,3.0,75.0,33.0,200.0
2025-06-03--18h-33m-16s,101.0,1.0,76.0,22.0,200.0
2025-06-03--18h-33m-16s,108.0,4.0,64.0,24.0,200.0
2025-06-03--18h-33m-16s,95.0,1.0,77.0,27.0,200.0
2025-06-03--18h-33m-16s,86.0,8.0,77.0,29.0,200.0
2025-06-03--18h-33m-16s,87.0,1.0,86.0,26.0,200.0
2025-06-03--18h-33m-16s,93.0,4.0,78.0,25.0,200.0
2025-06-03--18h-33m-16s,86.0,3.0,85.0,26.0,200.0
2025-06-03--18h-33m-16s,93.0,6.0,75.0,26.0,200.0
2025-06-03--18h-33m-16s,93.0,1.0,82.0,24.0,200.0
2025-06-03--18h-33m-16s,85.0,2.0,82.0,31.0,200.0
2025-06-03--18h-33m-16s,89.0,0.0,84.0,27.0,200.0
2025-06-03--18h-33m-16s,94.0,0.0,76.0,30.0,200.0
2025-06-03--18h-33m-16s,97.0,0.0,84.0,19.0,200.0
2025-06-03--18h-33m-16s,82.0,3.0,91.0,24.0,200.0
2025-06-03--18h-33m-16s,94.0,3.0,81.0,22.0,200.0
2025-06-03--18h-33m-16s,93.0,4.0,75.0,28.0,200.0
2025-06-03--18h-33m-16s,86.0,6.0,85.0,23.0,200.0
2025-06-03--18h-33m-16s,75.0,2.0,90.0,33.0,200.0
2025-06-03--18h-33m-16s,88.0,3.0,81.0,28.0,200.0
2025-06-03--18h-33m-16s,93.0,7.0,79.0,21.0,200.0
2025-06-03--18h-33m-16s,92.0,2.0,78.0,28.0,200.0
2025-06-03--18h-33m-16s,82.0,3.0,95.0,20.0,200.0
2025-06-03--18h-33m-16s,88.0,6.0,86.0,20.0,200.0
2025-06-03--18h-33m-16s,87.0,4.0,80.0,29.0,200.0
2025-06-03--18h-33m-16s,81.0,3.0,81.0,35.0,200.0
2025-06-03--18h-33m-16s,103.0,2.0,75.0,20.0,200.0
2025-06-03--18h-33m-16s,88.0,4.0,84.0,24.0,200.0
2025-06-03--18h-33m-16s,90.0,3.0,84.0,23.0,200.0
2025-06-03--18h-33m-16s,89.0,6.0,81.0,24.0,200.0
2025-06-03--18h-33m-16s,93.0,3.0,84.0,20.0,200.0
2025-06-03--18h-33m-16s,92.0,1.0,78.0,29.0,200.0
2025-06-03--18h-33m-16s,71.0,2.0,89.0,38.0,200.0
2025-06-03--18h-33m-16s,81.0,2.0,89.0,28.0,200.0
2025-06-03--18h-33m-16s,86.0,2.0,90.0,22.0,200.0
2025-06-03--18h-33m-16s,90.0,3.0,89.0,18.0,200.0
2025-06-03--18h-33m-16s,88.0,4.0,87.0,21.0,200.0
2025-06-03--18h-33m-16s,65.0,2.0,108.0,25.0,200.0
2025-06-03--18h-33m-16s,102.0,0.0,75.0,23.0,200.0
