Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32282,29056,27487,28084,59769,57140
1,D,24481,36903,35649,20380,60130,57283
2,R,1057,59716,1543,53317,2600,113033
3,V,30532,31320,30836,25132,61368,56452
4,A,37919,23361,21596,33891,59515,57252
5,L,61821,1163,54917,1175,116738,2338
