angle,singles,coincidences
0.0,14493.0,741
9.0,13316.0,76
18.0,13440.0,187
27.0,15094.0,1069
36.0,17407.0,2302
45.0,19367.0,3522
54.0,21079.0,4334
63.0,20587.0,4057
72.0,18794.0,3241
81.0,16813.0,1895
90.0,14833.0,736
99.0,13533.0,76
108.0,13625.0,169
117.0,15338.0,1029
126.0,17668.0,2406
135.0,19343.0,3529
144.0,20963.0,4218
153.0,20709.0,4124
162.0,19212.0,3210
171.0,16542.0,2034
180.0,14661.0,826
7.2057572713565605,13511.0,111
8.20575727135656,13771.0,119
9.20575727135656,13230.0,63
10.20575727135656,14006.0,25
11.20575727135656,13165.0,7
12.20575727135656,12883.0,1
13.20575727135656,13463.0,9
14.20575727135656,13643.0,15
15.20575727135656,13521.0,45
16.20575727135656,13748.0,68
17.20575727135656,13748.0,118
142.20575727135656,20723.0,4177
143.87242393802322,20919.0,4137
145.5390906046899,20425.0,4212
147.20575727135656,20867.0,4417
148.87242393802322,20819.0,4486
150.5390906046899,21106.0,4363
152.20575727135656,20720.0,4191
