,Measurement Basis,TT,TR,RT,RR
0,H,331,115260,740,95182
1,D,59894,57630,71009,48242
2,R,61559,56113,75502,44935
3,V,116356,504,134986,1134
4,A,57707,59569,67951,49106
5,L,55829,60653,66187,50811
