,Measurement Basis,TT,TR,RT,RR
0,H,74733,72130,86244,63609
1,D,46965,101715,20600,117430
2,R,140912,6000,138484,25354
3,V,70560,77697,77605,71130
4,A,97389,48146,146111,17277
5,L,5425,143489,31049,108839
