Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32290,29098,26497,29216,58787,58314
1,D,1262,58933,1239,53437,2501,112370
2,R,38404,23585,22443,33405,60847,56990
3,V,30111,31122,27878,27546,57989,58668
4,A,61151,1368,55456,1010,116607,2378
5,L,24083,37166,34982,21319,59065,58485
