,Measurement Basis,TT,TR,RT,RR
0,H,32290,29098,26497,29216
1,D,1262,58933,1239,53437
2,R,38404,23585,22443,33405
3,V,30111,31122,27878,27546
4,A,61151,1368,55456,1010
5,L,24083,37166,34982,21319
