data_dir,C',SB,VV,HH,N
2025-06-18--18h-49m-58s,21.0,17.0,5.0,117.0,160.0
2025-06-18--18h-49m-58s,14.0,15.0,1.0,130.0,160.0
2025-06-18--18h-49m-58s,22.0,11.0,4.0,123.0,160.0
2025-06-18--18h-49m-58s,21.0,20.0,1.0,118.0,160.0
2025-06-18--18h-49m-58s,27.0,13.0,3.0,117.0,160.0
2025-06-18--18h-49m-58s,25.0,22.0,3.0,110.0,160.0
2025-06-18--18h-49m-58s,24.0,20.0,2.0,114.0,160.0
2025-06-18--18h-49m-58s,17.0,12.0,2.0,129.0,160.0
2025-06-18--18h-49m-58s,24.0,23.0,6.0,107.0,160.0
2025-06-18--18h-49m-58s,18.0,24.0,4.0,114.0,160.0
2025-06-18--18h-49m-58s,23.0,14.0,3.0,120.0,160.0
2025-06-18--18h-49m-58s,17.0,18.0,0.0,125.0,160.0
2025-06-18--18h-49m-58s,12.0,18.0,6.0,124.0,160.0
2025-06-18--18h-49m-58s,28.0,19.0,1.0,112.0,160.0
2025-06-18--18h-49m-58s,18.0,20.0,4.0,118.0,160.0
2025-06-18--18h-49m-58s,23.0,21.0,3.0,113.0,160.0
2025-06-18--18h-49m-58s,19.0,19.0,6.0,116.0,160.0
2025-06-18--18h-49m-58s,19.0,19.0,6.0,116.0,160.0
2025-06-18--18h-49m-58s,20.0,23.0,2.0,115.0,160.0
2025-06-18--18h-49m-58s,21.0,18.0,3.0,118.0,160.0
2025-06-18--18h-49m-58s,15.0,21.0,4.0,120.0,160.0
2025-06-18--18h-49m-58s,22.0,20.0,2.0,116.0,160.0
2025-06-18--18h-49m-58s,17.0,23.0,3.0,117.0,160.0
2025-06-18--18h-49m-58s,20.0,14.0,2.0,124.0,160.0
2025-06-18--18h-49m-58s,20.0,19.0,3.0,118.0,160.0
2025-06-18--18h-49m-58s,25.0,22.0,1.0,112.0,160.0
2025-06-18--18h-49m-58s,18.0,20.0,3.0,119.0,160.0
2025-06-18--18h-49m-58s,15.0,14.0,1.0,130.0,160.0
2025-06-18--18h-49m-58s,23.0,24.0,7.0,106.0,160.0
2025-06-18--18h-49m-58s,20.0,19.0,3.0,118.0,160.0
2025-06-18--18h-49m-58s,17.0,18.0,2.0,123.0,160.0
2025-06-18--18h-49m-58s,18.0,20.0,4.0,118.0,160.0
2025-06-18--18h-49m-58s,19.0,21.0,1.0,119.0,160.0
2025-06-18--18h-49m-58s,24.0,12.0,3.0,121.0,160.0
2025-06-18--18h-49m-58s,12.0,19.0,4.0,125.0,160.0
2025-06-18--18h-49m-58s,13.0,21.0,3.0,123.0,160.0
2025-06-18--18h-49m-58s,29.0,16.0,3.0,112.0,160.0
2025-06-18--18h-49m-58s,30.0,14.0,2.0,114.0,160.0
2025-06-18--18h-49m-58s,24.0,16.0,5.0,115.0,160.0
2025-06-18--18h-49m-58s,15.0,22.0,4.0,119.0,160.0
2025-06-18--18h-49m-58s,17.0,17.0,3.0,123.0,160.0
2025-06-18--18h-49m-58s,26.0,12.0,5.0,117.0,160.0
2025-06-18--18h-49m-58s,18.0,17.0,2.0,123.0,160.0
2025-06-18--18h-49m-58s,21.0,12.0,7.0,120.0,160.0
2025-06-18--18h-49m-58s,21.0,19.0,4.0,116.0,160.0
2025-06-18--18h-49m-58s,18.0,17.0,4.0,121.0,160.0
2025-06-18--18h-49m-58s,16.0,16.0,3.0,125.0,160.0
2025-06-18--18h-49m-58s,14.0,19.0,0.0,127.0,160.0
2025-06-18--18h-49m-58s,16.0,19.0,3.0,122.0,160.0
2025-06-18--18h-49m-58s,20.0,25.0,0.0,115.0,160.0
2025-06-18--18h-49m-58s,16.0,19.0,4.0,121.0,160.0
2025-06-18--18h-49m-58s,20.0,23.0,3.0,114.0,160.0
2025-06-18--18h-49m-58s,27.0,28.0,1.0,104.0,160.0
2025-06-18--18h-49m-58s,22.0,26.0,1.0,111.0,160.0
