,Measurement Basis,TT,TR,RT,RR
0,H,77172,467,88561,1166
1,D,37538,46799,41464,36288
2,R,38493,46315,40810,37472
3,V,285,90006,626,65122
4,A,38613,44642,44603,33479
5,L,38073,44688,43440,33644
