detector_a_name,detector_b_name,tomography_setting_a,tomography_setting_b,repetition,coincidences,timestamp,tomography_setting_t,tomography_setting_r
9,12,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
9,11,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
9,10,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
11,12,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
10,12,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
10,11,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
1,9,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
1,12,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
1,11,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
1,10,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
1,4,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
1,7,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
1,2,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
4,9,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
4,12,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
4,11,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
4,10,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
4,7,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
7,9,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
7,12,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
7,11,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
7,10,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
2,9,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
2,12,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
2,11,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
2,10,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
2,4,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
2,7,,,0,0,2025-05-28--14h-27m-58s-187189,H,H
9,12,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
9,11,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
9,10,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
11,12,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
10,12,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
10,11,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
1,9,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
1,12,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
1,11,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
1,10,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
1,4,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
1,7,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
1,2,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
4,9,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
4,12,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
4,11,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
4,10,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
4,7,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
7,9,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
7,12,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
7,11,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
7,10,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
2,9,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
2,12,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
2,11,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
2,10,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
2,4,,,1,0,2025-05-28--14h-27m-58s-212818,H,H
2,7,,,1,2,2025-05-28--14h-27m-58s-212818,H,H
9,12,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
9,11,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
9,10,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
11,12,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
10,12,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
10,11,,,2,1,2025-05-28--14h-27m-58s-232340,H,H
1,9,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
1,12,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
1,11,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
1,10,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
1,4,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
1,7,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
1,2,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
4,9,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
4,12,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
4,11,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
4,10,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
4,7,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
7,9,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
7,12,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
7,11,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
7,10,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
2,9,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
2,12,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
2,11,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
2,10,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
2,4,,,2,0,2025-05-28--14h-27m-58s-232340,H,H
2,7,,,2,1,2025-05-28--14h-27m-58s-232340,H,H
9,12,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
9,11,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
9,10,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
11,12,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
10,12,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
10,11,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
1,9,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
1,12,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
1,11,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
1,10,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
1,4,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
1,7,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
1,2,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
4,9,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
4,12,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
4,11,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
4,10,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
4,7,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
7,9,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
7,12,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
7,11,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
7,10,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
2,9,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
2,12,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
2,11,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
2,10,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
2,4,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
2,7,,,3,0,2025-05-28--14h-27m-58s-252272,H,H
9,12,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
9,11,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
9,10,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
11,12,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
10,12,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
10,11,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
1,9,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
1,12,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
1,11,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
1,10,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
1,4,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
1,7,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
1,2,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
4,9,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
4,12,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
4,11,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
4,10,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
4,7,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
7,9,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
7,12,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
7,11,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
7,10,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
2,9,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
2,12,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
2,11,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
2,10,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
2,4,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
2,7,,,4,0,2025-05-28--14h-27m-58s-272301,H,H
9,12,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
9,11,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
9,10,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
11,12,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
10,12,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
10,11,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
1,9,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
1,12,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
1,11,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
1,10,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
1,4,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
1,7,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
1,2,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
4,9,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
4,12,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
4,11,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
4,10,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
4,7,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
7,9,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
7,12,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
7,11,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
7,10,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
2,9,,,5,0,2025-05-28--14h-27m-58s-291322,H,H
